አፍሪቃ	非洲
756 እ.ኤ.አ.	756年
663 እ.ኤ.አ.	663年
779 እ.ኤ.አ.	779年
662 እ.ኤ.አ.	662年
684 እ.ኤ.አ.	684年
773 እ.ኤ.አ.	773年
757 እ.ኤ.አ.	757年
435 እ.ኤ.አ.	435年
790 እ.ኤ.አ.	790年
437 እ.ኤ.አ.	437年
433 እ.ኤ.አ.	433年
764 እ.ኤ.አ.	764年
426 እ.ኤ.አ.	426年
781 እ.ኤ.አ.	781年
425 እ.ኤ.አ.	425年
429 እ.ኤ.አ.	429年
423 እ.ኤ.አ.	423年
765 እ.ኤ.አ.	765年
235 እ.ኤ.አ.	235年
233 እ.ኤ.አ.	233年
223 እ.ኤ.አ.	223年
224 እ.ኤ.አ.	224年
216 እ.ኤ.አ.	216年
219 እ.ኤ.አ.	219年
254 እ.ኤ.አ.	254年
272 እ.ኤ.አ.	272年
208 እ.ኤ.አ.	208年
175 እ.ኤ.አ.	175年
170 እ.ኤ.አ.	170年
171 እ.ኤ.አ.	171年
172 እ.ኤ.አ.	172年
58 እ.ኤ.አ.	58年
59 እ.ኤ.አ.	59年
139 እ.ኤ.አ.	139年
114 እ.ኤ.አ.	114年
ፍራንኮሊ ወንዝ	弗蘭科利河
134 እ.ኤ.አ.	134年
135 እ.ኤ.አ.	135年
179 እ.ኤ.አ.	179年
142 እ.ኤ.አ.	142年
96 እ.ኤ.አ.	96年
181 እ.ኤ.አ.	181年
146 እ.ኤ.አ.	146年
145 እ.ኤ.አ.	145年
183 እ.ኤ.አ.	183年
182 እ.ኤ.አ.	182年
184 እ.ኤ.አ.	184年
324 እ.ኤ.አ.	324年
589 እ.ኤ.አ.	589年
521 እ.ኤ.አ.	521年
92 እ.ኤ.አ.	92年
597 እ.ኤ.አ.	597年
329 እ.ኤ.አ.	329年
ክራካው	克拉科夫
133 እ.ኤ.አ.	133年
413 እ.ኤ.አ.	413年
258 እ.ኤ.አ.	258年
259 እ.ኤ.አ.	259年
196 እ.ኤ.አ.	196年
236 እ.ኤ.አ.	236年
789 እ.ኤ.አ.	789年
332 እ.ኤ.አ.	332年
631 እ.ኤ.አ.	631年
487 እ.ኤ.አ.	487年
638 እ.ኤ.አ.	638年
473 እ.ኤ.አ.	473年
176 እ.ኤ.አ.	176年
143 እ.ኤ.አ.	143年
ገብስ ሻይ	大麦茶
643 እ.ኤ.አ.	643年
523 እ.ኤ.አ.	523年
215 እ.ኤ.አ.	215年
148 እ.ኤ.አ.	148年
247 እ.ኤ.አ.	247年
424 እ.ኤ.አ.	424年
641 እ.ኤ.አ.	641年
492 እ.ኤ.አ.	492年
639 እ.ኤ.አ.	639年
256 እ.ኤ.አ.	256年
441 እ.ኤ.አ.	441年
131 እ.ኤ.አ.	131年
191 እ.ኤ.አ.	191年
450 እ.ኤ.አ.	450年
612 እ.ኤ.አ.	612年
635 እ.ኤ.አ.	635年
611 እ.ኤ.አ.	611年
534 እ.ኤ.አ.	534年
488 እ.ኤ.አ.	488年
607 እ.ኤ.አ.	607年
524 እ.ኤ.አ.	524年
282 እ.ኤ.አ.	282年
472 እ.ኤ.አ.	472年
471 እ.ኤ.አ.	471年
490 እ.ኤ.አ.	490年
316 እ.ኤ.አ.	316年
797 እ.ኤ.አ.	797年
511 እ.ኤ.አ.	511年
295 እ.ኤ.አ.	295年
598 እ.ኤ.አ.	598年
አረቢያ	阿拉伯半岛
303 እ.ኤ.አ.	303年
250 እ.ኤ.አ.	250年
515 እ.ኤ.አ.	515年
512 እ.ኤ.አ.	512年
418 እ.ኤ.አ.	418年
333 እ.ኤ.አ.	333年
294 እ.ኤ.አ.	294年
የአነባብሮ እርግጥ	重疊定理
217 እ.ኤ.አ.	217年
277 እ.ኤ.አ.	277年
578 እ.ኤ.አ.	578年
312 እ.ኤ.አ.	312年
284 እ.ኤ.አ.	284年
283 እ.ኤ.አ.	283年
241 እ.ኤ.አ.	241年
243 እ.ኤ.አ.	243年
262 እ.ኤ.አ.	262年
498 እ.ኤ.አ.	498年
336 እ.ኤ.አ.	336年
334 እ.ኤ.አ.	334年
266 እ.ኤ.አ.	266年
261 እ.ኤ.አ.	261年
470 እ.ኤ.አ.	470年
349 እ.ኤ.አ.	349年
271 እ.ኤ.አ.	271年
275 እ.ኤ.አ.	275年
292 እ.ኤ.አ.	292年
296 እ.ኤ.አ.	296年
345 እ.ኤ.አ.	345年
431 እ.ኤ.አ.	431年
304 እ.ኤ.አ.	304年
550 እ.ኤ.አ.	550年
586 እ.ኤ.አ.	586年
588 እ.ኤ.አ.	588年
554 እ.ኤ.አ.	554年
229 እ.ኤ.አ.	229年
583 እ.ኤ.አ.	583年
265 እ.ኤ.አ.	265年
263 እ.ኤ.አ.	263年
585 እ.ኤ.አ.	585年
582 እ.ኤ.አ.	582年
556 እ.ኤ.አ.	556年
420 እ.ኤ.አ.	420年
280 እ.ኤ.አ.	280年
581 እ.ኤ.አ.	581年
558 እ.ኤ.አ.	558年
302 እ.ኤ.አ.	302年
309 እ.ኤ.አ.	309年
353 እ.ኤ.አ.	353年
335 እ.ኤ.አ.	335年
367 እ.ኤ.አ.	367年
344 እ.ኤ.አ.	344年
245 እ.ኤ.አ.	245年
290 እ.ኤ.አ.	290年
449 እ.ኤ.አ.	449年
308 እ.ኤ.አ.	308年
255 እ.ኤ.አ.	255年
439 እ.ኤ.አ.	439年
319 እ.ኤ.አ.	319年
318 እ.ኤ.አ.	318年
299 እ.ኤ.አ.	299年
419 እ.ኤ.አ.	419年
416 እ.ኤ.አ.	416年
338 እ.ኤ.አ.	338年
310 እ.ኤ.አ.	310年
315 እ.ኤ.አ.	315年
359 እ.ኤ.አ.	359年
360 እ.ኤ.አ.	360年
273 እ.ኤ.አ.	273年
286 እ.ኤ.አ.	286年
288 እ.ኤ.አ.	288年
278 እ.ኤ.አ.	278年
455 እ.ኤ.አ.	455年
577 እ.ኤ.አ.	577年
575 እ.ኤ.አ.	575年
482 እ.ኤ.አ.	482年
486 እ.ኤ.አ.	486年
580 እ.ኤ.አ.	580年
567 እ.ኤ.አ.	567年
564 እ.ኤ.አ.	564年
561 እ.ኤ.አ.	561年
328 እ.ኤ.አ.	328年
325 እ.ኤ.አ.	325年
317 እ.ኤ.አ.	317年
574 እ.ኤ.አ.	574年
566 እ.ኤ.አ.	566年
249 እ.ኤ.አ.	249年
348 እ.ኤ.አ.	348年
442 እ.ኤ.አ.	442年
443 እ.ኤ.አ.	443年
267 እ.ኤ.አ.	267年
244 እ.ኤ.አ.	244年
248 እ.ኤ.አ.	248年
343 እ.ኤ.አ.	343年
562 እ.ኤ.አ.	562年
417 እ.ኤ.አ.	417年
268 እ.ኤ.አ.	268年
590 እ.ኤ.አ.	590年
269 እ.ኤ.አ.	269年
ቬኔትኛ	威尼斯語
499 እ.ኤ.አ.	499年
409 እ.ኤ.አ.	409年
405 እ.ኤ.አ.	405年
406 እ.ኤ.አ.	406年
403 እ.ኤ.አ.	403年
414 እ.ኤ.አ.	414年
ቮሮኛ	佛罗语
411 እ.ኤ.አ.	411年
412 እ.ኤ.አ.	412年
560 እ.ኤ.አ.	560年
592 እ.ኤ.አ.	592年
የሜዳ አህያ	斑馬
276 እ.ኤ.አ.	276年
መስጊድ	清真寺
314 እ.ኤ.አ.	314年
323 እ.ኤ.አ.	323年
366 እ.ኤ.አ.	366年
362 እ.ኤ.አ.	362年
545 እ.ኤ.አ.	545年
531 እ.ኤ.አ.	531年
514 እ.ኤ.አ.	514年
513 እ.ኤ.አ.	513年
539 እ.ኤ.አ.	539年
538 እ.ኤ.አ.	538年
519 እ.ኤ.አ.	519年
516 እ.ኤ.አ.	516年
520 እ.ኤ.አ.	520年
522 እ.ኤ.አ.	522年
528 እ.ኤ.አ.	528年
506 እ.ኤ.አ.	506年
526 እ.ኤ.አ.	526年
507 እ.ኤ.አ.	507年
214 እ.ኤ.አ.	214年
213 እ.ኤ.አ.	213年
212 እ.ኤ.አ.	212年
228 እ.ኤ.አ.	228年
227 እ.ኤ.አ.	227年
149 እ.ኤ.አ.	149年
174 እ.ኤ.አ.	174年
189 እ.ኤ.አ.	189年
199 እ.ኤ.አ.	199年
141 እ.ኤ.አ.	141年
132 እ.ኤ.አ.	132年
ኮርሲካኛ	科西嘉语
125 እ.ኤ.አ.	125年
123 እ.ኤ.አ.	123年
147 እ.ኤ.አ.	147年
144 እ.ኤ.አ.	144年
198 እ.ኤ.አ.	198年
178 እ.ኤ.አ.	178年
ቡጊኛ	布吉語
177 እ.ኤ.አ.	177年
187 እ.ኤ.አ.	187年
195 እ.ኤ.አ.	195年
የአርመኒያ ሰንደቅ ዓላማ	亚美尼亚国旗
186 እ.ኤ.አ.	186年
347 እ.ኤ.አ.	347年
620 እ.ኤ.አ.	620年
624 እ.ኤ.አ.	624年
ኩሻዊ ቋንቋዎች	庫希特語族
605 እ.ኤ.አ.	605年
629 እ.ኤ.አ.	629年
616 እ.ኤ.አ.	616年
615 እ.ኤ.አ.	615年
644 እ.ኤ.አ.	644年
646 እ.ኤ.አ.	646年
633 እ.ኤ.አ.	633年
637 እ.ኤ.አ.	637年
436 እ.ኤ.አ.	436年
434 እ.ኤ.አ.	434年
293 እ.ኤ.አ.	293年
427 እ.ኤ.አ.	427年
185 እ.ኤ.አ.	185年
321 እ.ኤ.አ.	321年
327 እ.ኤ.አ.	327年
430 እ.ኤ.አ.	430年
447 እ.ኤ.አ.	447年
569 እ.ኤ.አ.	569年
568 እ.ኤ.አ.	568年
444 እ.ኤ.አ.	444年
ፍሪዩልያን	弗留利语
796 እ.ኤ.አ.	796年
ንሴት	冪
798 እ.ኤ.አ.	798年
793 እ.ኤ.አ.	793年
ጋን ቻይንኛ	贛語
እዤን ደላክሯ	欧仁·德拉克罗瓦
685 እ.ኤ.አ.	685年
799 እ.ኤ.አ.	799年
683 እ.ኤ.አ.	683年
274 እ.ኤ.አ.	274年
579 እ.ኤ.አ.	579年
281 እ.ኤ.አ.	281年
306 እ.ኤ.አ.	306年
438 እ.ኤ.አ.	438年
ካሽሚርኛ	克什米爾語
297 እ.ኤ.አ.	297年
421 እ.ኤ.አ.	421年
298 እ.ኤ.አ.	298年
351 እ.ኤ.አ.	351年
352 እ.ኤ.አ.	352年
355 እ.ኤ.አ.	355年
95 እ.ኤ.አ.	95年
94 እ.ኤ.አ.	94年
594 እ.ኤ.አ.	594年
542 እ.ኤ.አ.	542年
448 እ.ኤ.አ.	448年
445 እ.ኤ.አ.	445年
305 እ.ኤ.አ.	305年
234 እ.ኤ.አ.	234年
565 እ.ኤ.አ.	565年
ካነዳኛ	卡纳达语
381 እ.ኤ.አ.	381年
385 እ.ኤ.አ.	385年
ካሹብኛ	卡舒比语
ናይሎ ሳህራዊ ቋንቋዎች	尼罗-撒哈拉语系
553 እ.ኤ.አ.	553年
307 እ.ኤ.አ.	307年
584 እ.ኤ.አ.	584年
346 እ.ኤ.አ.	346年
257 እ.ኤ.አ.	257年
መብረቅ	闪电
285 እ.ኤ.አ.	285年
591 እ.ኤ.አ.	591年
289 እ.ኤ.አ.	289年
በርትራንድ ረስል	伯特兰·罗素
የኒካራጓ ምልክት ቋንቋ	尼加拉瓜手语
እጅ	手
ዱ ፉ	杜甫
563 እ.ኤ.አ.	563年
252 እ.ኤ.አ.	252年
ናፖሊታንኛ	那不勒斯语
595 እ.ኤ.አ.	595年
ኖርማንኛ	諾曼語
246 እ.ኤ.አ.	246年
ኦሞአዊ	奥摩语族
ኦሮምኛ	奧羅莫語
ቴዮዶር ሮዝቬልት	西奥多·罗斯福
596 እ.ኤ.አ.	596年
593 እ.ኤ.አ.	593年
357 እ.ኤ.አ.	357年
573 እ.ኤ.አ.	573年
ቴል አቪቭ	特拉维夫
ስሜን ሳሚኛ	北方萨米语
ኢሮንኛ	奧塞梯語
ኔፓል ባሳ	尼瓦尔语
ቫልፓራይሶ	瓦尔帕莱索
ኢካሮስ	伊卡洛斯
559 እ.ኤ.አ.	559年
ሴማዊ ቋንቋዎች	闪米特语族
599 እ.ኤ.አ.	599年
326 እ.ኤ.አ.	326年
341 እ.ኤ.አ.	341年
322 እ.ኤ.አ.	322年
ናስ	青铜
ሆስኒ ሙባረክ	穆罕默德·胡斯尼·穆巴拉克
ወሓካ	瓦哈卡州
386 እ.ኤ.አ.	386年
ትግርኛ	提格利尼亞語
ፉናፉቲ	富纳富提
374 እ.ኤ.አ.	374年
380 እ.ኤ.አ.	380年
ቶክ ፒሲን	巴布亚皮钦语
ፓብሎ ኔሩዳ	巴勃罗·聂鲁达
ዋሎንኛ	瓦隆语
የምልክት ቋንቋ	手語
136 እ.ኤ.አ.	136年
ፖርቶፕሪንስ	太子港
ዊናራይኛ	瓦瑞瓦瑞語
ዉ ቻይንኛ	吴语
ዉድሮው ዊልሰን	伍德罗·威尔逊
ሳቃኛ	雅库特语
ቀርጤስ	克里特
ሞሾቭጸ	莫绍夫采
ዩኒቨርስቲ ኦፍ ኦክስፎርድ	牛津大学
ማሕሙድ አሕማዲኔዣድ	马哈茂德·艾哈迈迪内贾德
ሲዲ	CD
አሌክሳንድር ሶልዠኒጽን	亚历山大·伊萨耶维奇·索尔仁尼琴
ሴይንት ህሊና ደሴት	圣赫勒拿岛
382 እ.ኤ.አ.	382年
342 እ.ኤ.አ.	342年
373 እ.ኤ.አ.	373年
372 እ.ኤ.አ.	372年
ኤጊያን ባህር	爱琴海
አናስታስያ	安娜塔西亚
ኤፍራጥስ ወንዝ	幼发拉底河
ጄምስ ጋርፊልድ	詹姆斯·艾布拉姆·加菲尔德
የሊቢያ ሰንደቅ ዓላማ	利比亚国旗
አስርቱ ቃላት	十誡
ጆሃንስበርግ	约翰内斯堡
1990ዎቹ	1990年代
ጆዋን ሮውሊንግ	J·K·罗琳
ኪንግስተን	京斯敦
ግሥላ	豹
አውራሪስ	犀牛
ሶማሊላንድ	索马里兰
የስልክ መግቢያ	国际电话区号列表
ሳንቶ ዶሚንጎ	聖多明哥
ቴኪክስኪያክ	特基斯基阿克
ዩሊሲስ ግራንት	尤利西斯·辛普森·格兰特
ፓፓያ	番木瓜
375 እ.ኤ.አ.	375年
ቤንጃሚን ፍራንክሊን	本傑明·富蘭克林
1970ዎቹ	1970年代
ዊሊያም ማኪንሊ	威廉·麦金莱
ጥቅል ጎመን	捲心菜
የአሜሪካ ፕሬዝዳንቶች ዝርዝር	美国总统列表
የዋና ከተሞች ዝርዝር	各国首都列表
ዌብሳይት	網站
ግሮቨር ክሊቭላንድ	格罗弗·克利夫兰
ኩዌት ከተማ	科威特市
ሄርበርት ሁቨር	赫伯特·胡佛
ዋረን ሃርዲንግ	沃伦·盖玛利尔·哈定
387 እ.ኤ.አ.	387年
ሱመር	苏美尔
ኮሎምቦ	可倫坡
መስኮት	窗
መዲና	麦地那
ቼስተር አርተር	切斯特·艾伦·阿瑟
ዋሻ	洞穴
አካድኛ	阿卡德語
ዋይት ሃውስ	白宮
ፖሊስ	警察
ጤግሮስ	底格里斯河
ዊልያም ሃወርድ ታፍት	威廉·霍华德·塔夫脱
ግዕዝ	吉茲語
ቤንጃሚን ሀሪሰን	本杰明·哈里森
ራዘርፎርድ ሄይስ	拉瑟福德·伯查德·海斯
ባሩክ ስፒኖዛ	巴魯赫·斯賓諾莎
ዞራስተር	琐罗亚斯德
ኦመር ሃያም	欧玛尔·海亚姆
ስፖርት ክለብ ኮሪንቺያንስ ፓውሊስታ	哥連泰斯保利斯塔體育會
ኢንተርሊንጉዋ	国际语
ኢሎካኖ	伊洛卡诺语
ሥነ ውበት	美学
ሆ ቺ ሚን	胡志明
ካልቪን ኩሊጅ	卡尔文·柯立芝
ሊጉርኛ	利古里亚语
ካፓምፓንጋንኛ	邦板牙語
ስብስብ	集合 (数学)
ብርጅታውን	布里奇敦
ላዲኖ	拉迪諾語
ሲሊጎ	西利戈
ሊንጋላ	林加拉语
ማላያላም	马拉雅拉姆语
አሃድ ጨረር	单位向量
አፒያ	阿皮亚
ሴንት ጆንስ፥ አንቲጋ እና ባርቡዳ	聖約翰 (安提瓜和巴布達)
ሮዞ	羅索
ኦንጎትኛ	翁果塔語
ሎዥባን	逻辑语
ሃሙራቢ	汉谟拉比
ሞልዶቭኛ	摩爾多瓦語
የፖለቲካ ጥናት	政治学
ማዖሪ ቋንቋ	毛利语
ደቡብ ሚንኛ	闽南语
ፖርት ሞርስቢ	莫尔兹比港
1900ዎቹ	1900年代
ኖቪያል	诺维亚语
ድረ ገጽ	網頁
በር	門 (建築部件)
አራት ማዕዘን	四邊形
ሸንኮራ ኣገዳ	甘蔗
ቮላፒውክ	沃拉普克语
ሚስማር	钉子
ንጉሥ ሰሎሞን	所羅門
ሥላሴ	三位一體
ያሁ	雅虎
331 እ.ኤ.አ.	331年
ማሪኡፖል	马里乌波尔
365 እ.ኤ.አ.	365年
379 እ.ኤ.አ.	379年
ዴቪድ ሁም	大卫·休谟
የ2006 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	2006年世界杯足球赛
ጆን ማይክል ታልበት	约翰·約瑟夫·塔波特
ኦቾሎኒ	花生
ቶማስ ሆብስ	托马斯·霍布斯
ገበያ	市场
ካምፖራ ሳን ጆቫኒ	肯波拉圣吉奥瓦尼
እስስት	變色龍
ብሉምፎንቴይን	布隆方丹
ቲ.ኤስ. ኤልየት	T·S·艾略特
በልጺ	伯爾茲
ፖርት ቪላ	维拉港
ማቀዝቀዣ	冰箱
ስኳር ድንች	番薯
ያንጎን	仰光
ኅልውነት	存在主义
አርተር ሾፐናውር	阿图尔·叔本华
አንዤ	昂热
ቱርኩ	圖爾庫
ሳው ፓውሉ የእግር ኳስ ክለብ	聖保羅足球會
ሃብሃብ	西瓜
አበሳሰል	烹饪
ላብራዶር	拉布拉多犬
ሱቫ	蘇瓦
ኑኩአሎፋ	努库阿洛法
በሶብላ	羅勒
አስዋን ግድብ	阿斯旺水坝
ትኩሳት	发热
ፖርት ኦፍ ስፔን	西班牙港
የእብድ ውሻ በሽታ	狂犬病
ሪቻርድ ፋይንማን	理查德·費曼
መጥረቢያ	斧
ቢርኪርካራ	比爾基卡拉
ኧያፍያትላዮኪውትል	埃亚菲亚德拉冰盖
አኮንካጓ	阿空加瓜山
ደቂቅ ዘ አካላት	微生物
ሱሪ	褲
ጡብ	磚
ዊል ስሚዝ	威爾·史密斯
ሞላላ	椭圆
መፈንቅል	杠杆
መንኮራኩር	航天器
ሬዳቫሌ	雷达瓦莱
ማባዛት	乘法
ርብቃ	利百加
ሎጥ	羅得
ታክሎባን	独鲁万市
ማይስፔስ	Myspace
ዳማቫንድ	德馬峰
ዳግማዊ ኒኮላይ	尼古拉二世 (俄罗斯)
አና ማሪያ ዮፐክ	安娜·瑪莉亞·約佩克
ናንሲ	南锡
ሆኒያራ	霍尼亚拉
ሽንት	尿
ጸሎት	祷告
አሦር	亚述
ቀዳማዊ ኃይለ ሥላሴ	海尔·塞拉西一世
ካየን	卡昂
የባቢሎን ግንብ	巴別塔
ሲኒማ	電影院
ኖቲንግሃም	诺丁汉
በጀት	財政預算案
ባስቴር	巴斯特尔 (圣基茨和尼维斯)
በትረ ሎሚ	葡萄柚
ኪንግስታውን	金斯敦 (圣文森特和格林纳丁斯)
የሠገራ ትቦ ንጣፍ መድማት ወይመ መቁስል (ሄሞሮይድ)	痔疮
ዎሌ ሾይንካ	渥雷·索因卡
ስታንፎርድ ዩኒቨርስቲ	史丹佛大學
ሚሸል ደ ሞንታኝ	米歇爾·德·蒙泰涅
ጃንጥላ	傘
ፊንቄ	腓尼基
የሕንድ ሰንደቅ ዓላማ	印度国旗
ዲዮኒሶስ	狄俄倪索斯
ቶኪዳይደስ	修昔底德
ካስትሪስ	卡斯特里
ጥራክያ	色雷斯
ዓረፍተ-ነገር	句子
ቤርሳቤ	贝尔谢巴
ሮዛ ፓርክስ	羅莎·帕克斯
የዮሐንስ ራዕይ	启示录
ስራ	功
ቅልጥ አለት	岩漿
ቁጥቋጦ	灌木
ኣደንጓሬ	菜豆
ሾጣጣ	圆锥
ጥንታዊ እንግሊዝኛ	古英语
ሚካኤል ሾሎኮቭ	米哈伊爾·亞歷山大羅維奇·肖洛霍夫
የፓላንድ ሰንደቅ ዓላማ	波蘭國旗
የአሜሪካ ሰንደቅ ዓላማ	美国国旗
እርድ	薑黃
ኤምፒ3	MP3
አነር	藪貓
ፓሊኪር	帕利基尔
ኢቫን ቱርጌኔቭ	伊万·谢尔盖耶维奇·屠格涅夫
የጣልያ ሰንደቅ ዓላማ	意大利国旗
ግድግዳ	墙
ቤሲክ (BASIC)	BASIC
ኤሌክትሪክ ምህንድስና	電機工程學
ሩድ	罗得岛
ቁንደ በርበሬ	黑胡椒
ኤልብሩስ ተራራ	厄尔布鲁士山
ሶፊያ ሮታሩ	索菲亚·罗塔璐
የጃፓን ሰንደቅ ዓላማ	日本国旗
ኤለን ጆንሰን ሰርሊፍ	埃伦·约翰逊·瑟利夫
ሸለምጥማጥ	獛属
ሩሚ	鲁米
ሴት (ጾታ)	雌性
የብሪታንያ ሕንድ ውቅያኖስ ግዛት	英屬印度洋領地
ደርቢ	德比 (英格蘭)
አንቶን ቫን ሉዊንሁክ	安東尼·范·列文虎克
ሀይድሮካርቦን	烃
አፖሎ ፲፩	阿波罗11号
ኮሌስትሮል	膽固醇
ሞንቴርሞሶ	蒙特埃尔莫索
ሙሃመድ ዩኑስ	穆罕默德·尤纳斯
የዶሮ ጉንፋን	禽流感
ወንድ	雄性
ክሮኖስ	克洛诺斯
ኦሊቨር ክሮምዌል	奥利弗·克伦威尔
ጂም ሞሪሰን	吉姆·莫里森
ማትሪክስ	矩阵
ሙቀት	熱量
ጨረር	矢量
ቤተ መቅደስ	神庙
ታይታኒክ	泰坦尼克号 (1997年电影)
ቦሌ ዓለም አቀፍ ጥያራ ጣቢያ	亚的斯亚贝巴博莱国际机场
ተልባ	亚麻
ዘ ዶርስ	門戶樂團
እርሾ	酵母
ሚካኤል	米迦勒
ባህር ዛፍ	桉树
ጤሪ አንሪ	蒂埃里·亨利
ጆህን ከይል	约翰·凯尔
የላኦስ ሰንደቅ ዓላማ	寮國國旗
ኤሌክትሪክ መስክ	電場
ኤሊ	陸龜
የሆላንድ ሰንደቅ ዓላማ	荷蘭國旗
መካነቅርስ እስራኤል	以色列博物館
ሮበርት ሁክ	罗伯特·胡克
የኦስትሪያ ሰንደቅ ዓላማ	奧地利國旗
የጣት ቀለበት	戒指
ሳይንሳዊ ዘዴ	科学方法
የ1982 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1982年世界盃足球賽
የ1986 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1986年世界盃足球賽
የ1978 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1978年世界盃足球賽
ዋዝንቢት	蟋蟀
ሳጉንቶ	萨贡托
ኤፌሶን	以弗所
ናዲን ጎርድመር	内丁·戈迪默
የ2002 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	2002年世界盃足球賽
እባን	薄荷
339 እ.ኤ.አ.	339年
340 እ.ኤ.አ.	340年
ኔመሕን	奈梅亨
354 እ.ኤ.አ.	354年
356 እ.ኤ.አ.	356年
358 እ.ኤ.አ.	358年
ካርሎስ ቬላ	卡洛斯·維拉
361 እ.ኤ.አ.	361年
363 እ.ኤ.አ.	363年
364 እ.ኤ.አ.	364年
368 እ.ኤ.አ.	368年
369 እ.ኤ.አ.	369年
370 እ.ኤ.አ.	370年
371 እ.ኤ.አ.	371年
መለጠፊያ:Commonscat	Template:Commons category
376 እ.ኤ.አ.	376年
377 እ.ኤ.አ.	377年
378 እ.ኤ.አ.	378年
383 እ.ኤ.አ.	383年
384 እ.ኤ.አ.	384年
388 እ.ኤ.አ.	388年
389 እ.ኤ.አ.	389年
390 እ.ኤ.አ.	390年
391 እ.ኤ.አ.	391年
392 እ.ኤ.አ.	392年
393 እ.ኤ.አ.	393年
394 እ.ኤ.አ.	394年
395 እ.ኤ.አ.	395年
396 እ.ኤ.አ.	396年
397 እ.ኤ.አ.	397年
ማጅራት ገትር	脑膜炎
398 እ.ኤ.አ.	398年
399 እ.ኤ.አ.	399年
የጀርመን ሰንደቅ ዓላማ	德国国旗
ፆታ	性別 (文化)
ባላ	抛物线
ማርቲን ሄድጋ	马丁·海德格尔
ዴቪድ ሊቪንግስተን	戴维·利文斯通
በከራ	滑轮
የአልባኒያ ሰንደቅ ዓላማ	阿尔巴尼亚国旗
የ1930 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ	1930年世界盃足球賽
ልብስ ስፌት መኪና	縫紉機
Þ	Þ
279 እ.ኤ.አ.	279年
440 እ.ኤ.አ.	440年
517 እ.ኤ.አ.	517年
572 እ.ኤ.አ.	572年
ጉዞ (ቱሪዝም)	旅游
ኖዮን	努瓦永
የጋብቻ ሥነ-ስርዓት	婚礼
ዳይር ስትረይትስ	險峻海峽
ግብጽኛ	埃及语
ቀጥተኛ ዝምድና	比例
አናቶሊያ	安那托利亞
እየሱስ በእስልምና	爾撒
ኢቦላ	埃博拉出血热
መለጠፊያ:Taxobox	Template:Taxobox
አበበ ቢቂላ	阿比比·比基拉
ጓጉንቸር	无尾目
ጀኔራል ኤሌክትሪክ	通用电气
መደብ:አስቂኝ ፊልሞች	Category:喜劇片
መደብ:ፊልሞች	Category:電影作品
እንቁራሪት	蟾蜍科
የኤሌክትሪክ እምቅ	電勢
ፒተር ኡስቲኖቭ	皮特·乌斯蒂诺夫
የጀርመን ዳግመኛ መወሐድ	兩德統一
ኦማር ሀሳን አህመድ አል-በሽር	奥马尔·巴希尔
ሙአይ ኪባኪ	姆瓦伊·齐贝吉
ባሚር ቶፒ	巴米尔·托皮
ሆዜ ኤድዋርዶ ዶስ ሳንቶስ	若泽·爱德华多·多斯桑托斯
ኢሳያስ አፈወርቂ	伊薩亞斯·阿費沃爾基
እድሪስ ዴቢ	伊德里斯·代比
ግርማ ወልደ ጊዮርጊስ	吉尔马·沃尔德-乔治斯
እስማኤል ኦማር ገለህ	伊斯梅尔·奥马尔·盖莱
አሙን	阿蒙
ኤድመንድ ሁሠርል	埃德蒙德·胡塞爾
ፐሽቶ	普什图语
ግሪንሊ ካውንቲ፥ አሪዞና	格林利縣
ኮኮኒኖ ካውንቲ፥ አሪዞና	可可尼諾縣
ሒላ ካውንቲ፥ አሪዞና	希拉縣 (亞利桑那州)
ፒማ ካውንቲ፥ አሪዞና	皮马县
ሳንታ ክሩዝ ካውንቲ፥ አሪዞና	聖克魯斯縣 (亞利桑那州)
ማሪኮፓ ካውንቲ፥ አሪዞና	馬里科帕縣
ግራህም ካውንቲ፥ አሪዞና	葛蘭姆縣 (亞利桑那州)
ናቫሖ ካውንቲ፥ አሪዞና	納瓦霍縣
ሞሃቬ ካውንቲ፥ አሪዞና	莫哈維縣
እሪያ	野豬
ዩማ ካውንቲ፥ አሪዞና	尤馬縣 (亞利桑那州)
ያቫፓይ ካውንቲ፥ አሪዞና	亞瓦派縣
ፒናል ካውንቲ፥ አሪዞና	皮納爾縣
ላ ፓዝ ካውንቲ፥ አሪዞና	拉巴斯縣
አፓቼ ካውንቲ፥ አሪዞና	阿帕契縣
ኮቻይስ ካውንቲ፥ አሪዞና	科奇斯縣
የሳይንስ ፍልስፍና	科学哲学
ሽግግር መንግሥት	臨時政府
በለስ	榕屬
ፍሬገ	戈特洛布·弗雷格
ሄሮይን	海洛因
ጄረሚ ቤንታም	杰里米·边沁
ኪናባሉ	京那巴鲁山
ማኒሽቱሹ	玛尼什图苏
አዮኒክ ቦንድ	离子键
ቪቼግዳ ወንዝ	維切格達河
እርግጥ	定理
የብርሃን ስብረት	折射
ደብረ አራራት	亞拉拉特山
ቶኒ ሞሪሰን	托妮·莫里森
ክዋቻ	尚比亞克瓦查
