ཨ་ཧྥེ་རི་ཁ།	非洲
ཡ་མ་སོན་གཙང་པོ།	亚马逊河
ཨ་པུ་ཅ།	阿布贾
ལཱོ་མེ།	洛美
པོར་ཊོ་-ནོ་བོ།	波多诺伏
ཨམ་མན།	安曼
ཡོན་དྷི།	雅温得
མ་ལ་བོ།	馬拉博
པེ་རུ་ཐེ།	贝鲁特
ལིབ་རེ་ཝིལ།	利伯维尔
མི་སི་ཁ་ཁྲི།	马斯喀特
བང་གུའི།	班基
ཀིན་ཤ་ས།	金夏沙
བ་ར་ཛ་བི་ལི།	布拉柴维尔
བུ་ཇུམ་བུ་ར།	布琼布拉
ནེ་ཁོ་ཤི་ཡ།	尼科西亚
ཀི་ག་ལི།	吉佳利
དྷོ་ཧ།	多哈
ནའི་རོ་བི།	奈洛比
ལི་ལོང་ཀུའེ།	利隆圭
ལུ་ས་ཀ།	路沙卡
མ་ན་མ།	麦纳麦
མ་པུ་ཊོ།	马普托
ཀམ་པ་ལ།	坎帕拉
ལའུན་ཌ།	罗安达
མོ་རོ་ནི། (ཁོ་མོ་རོ་སུ།)	莫洛尼
མ་པ་པན།	墨巴本
མ་སི་རུ།	马塞卢
སློབ་གྲྭ།	学校
ཨེན་ཊ་ན་ན་རི་བོ།	塔那那利佛
སློབ་གྲྭ་ཆེན་མོ།	大學
ག་བོ་རོ་ནི།	嘉柏隆里
ཧ་ར་རི།	哈拉雷
ཕི་རི་ཐོ་རི་ཡ།	比勒陀利亞
ལོ་ཡི་སི་གྲུ་ཁ།	路易港
ཕིན་ཕང་སྤོ་ལོ།	乒乓球
སའོ་ཊོ་མེ།	圣多美
ཝིན་ཌི་ཧོཡིཀ།	温得和克
Wikipedia:Sandbox	Wikipedia:沙盒
ཝིག་ཐོ་རི་ཡ། (སེ་ཞེལ།)	维多利亚 (塞舌尔)
ནང་།	住宅
ཉི་ཕུའུ་ཏུན།	尼普顿
གྲོང་རྡལ།	鎮
ཆུ་རྒྱུན།	河流
གཟི་རྩ་སྡེ་དགུ་	九寨沟风景名胜区
གི་ཉོལ།	吉尼奥尔
ཝུའུ་ལིན་ཡོན།	武陵源
ལུ་ཛེར་ན།	卢塞恩
Category:ཉི་ཧུང་གི་ལོ་རྒྱུས།	Category:日本历史
ཨེ་མི་ལིས་ཏིས་ཁེན་སིན།	埃米莉·狄更生
ཁུང་ཙི།	孔子
Category:རྩིས་རིག	Category:数学
Category:རྒྱ་གར་གི་ལོ་རྒྱུས།	Category:印度歷史
ཀྲུའུ་པི་ཐེ།	朱庇特
ཏི་ཀྲུང་ཧའེ་རྒྱ་མཚོ།	地中海
ཧང་ཀྲོའུ།	杭州市
ཡེ་ཤུའི་ཆོས་ལུགས།	基督教
པེར་ལིན་ལྕགས་རི།	柏林圍牆
གླང་ཆེན་ཁ་བབས།	恒河
འབྲས།	稻
བྷལ་ཏྲི་མོར།	巴爾的摩
བྱ།	鸟
པོ་ཅུ་གྷལ་གྱི་སྐད།	葡萄牙語
ཟླ།	月
ཉི་ཧོང་སྐད།	日语
གཙོ་ངོས།	Wikipedia:首页
Cpu	中央处理器
དེ་སྦེལ།	分貝
འབྲི་ཆུ	长江
སེ་པོ་རི་ཡ།	西伯利亚
ཧྥུ་རོན་སི་སི་ཀོ་ཀོའོ་ཡ།	弗朗西斯科·戈雅
ཧི་མ་ལ་ཡ	喜马拉雅山脉
མཚོ་མོ་ཝེ་ཁེ་ཐོ་རི་ཡ།	維多利亞湖
པེ་གལ་མཚེའུ།	贝加尔湖
སལ་ཝ་ཌོར་དཱ་ལི།	萨尔瓦多·达利
ཝིན་སན་ཝན་ཀའོ།	文森特·梵高
ཧོ་ཀུ་སའི།	葛饰北斋
ཧྥ་རིས་ད་ཀ་ལོ།	芙烈達·卡蘿
མེ་ཀེ་ལན་ཇུ་ལོ།	米开朗基罗
པ་བུ་ལོ་པི་ཀ་སོ།	巴勃羅·畢卡索
ཨན་ཏོ་ནེལ་ལོ་ད་མེ་སི་ན།	安托内罗·达·梅西那
ར་ཧྥ་ཨེལ་ལོ་སན་ཛིའོ།	拉斐尔·圣齐奥
ཧྥ་ར་ཨན་ཇེ་ལི་ཁོ།	弗拉·安杰利科
སན་ཌོ་པའོ་ཊི་ཅེ་ལི།	桑德罗·波提切利
མ་ཏི་སུའོ་བ་ཤོ།	松尾芭蕉
པི་ཨེར་ཇོ་སེ་ཧྥེ་པུ་རུ་དོང་།	皮埃爾-約瑟夫·普魯東
མ་ཁ།	麥加
མྰ་སྰ་ཅིའོ།	马萨乔
མའོ་ཙེ་ཏུང་།	毛泽东
ཤེ་ཨན།	西安市
པེ་རུ་ཇི་ནོ།	彼得羅·佩魯吉諾
ཇང་ལུག་མེ་ལང་ཅོང་།	让-吕克·梅朗雄
ཁ་པུལ།	喀布尔
ལྷ་ས།	拉萨市
ཆགས་སྦྱོར་བྱེད་པ།	性交
ཆགས་པ་མཐོ་རུ་འཕེལ་བ།	性高潮
མཚན་ཉིད་རིག་པ།	哲学
Category:Candidates for speedy deletion	Category:快速删除候选
རྣོ་སྦྲེང་།	钢琴
ཇ།	茶
མཱར་ཁོ་ཕོ་ལོ།	马可·波罗
གཞུང་མེད་ལམ་སྲོལ།	无政府主义
ཧྥ་ཤི་སིའི་རིང་ལུགས།	法西斯主义
མི་རིགས་རིང་ལུགས།	民族主義
ནུབ་ས་ཧ་ར།	西撒哈拉
ཅ་ཐའེ་ཅི།	迦太基
ཨ་ཝི་ཉོང་།	亞維農
Category:གཟའ་སྐར་རིག་པ།	Category:天文学
ཏ་ཏ་ནེར་མཚོ་འགག	達達尼爾海峽
གདང་ཡ་ཙེ།	唐老鸭
ས་ཧ་ར་བྱེ་ཐང་ཆེན་པོ།	撒哈拉沙漠
སི་ཐི་རཱ་སི་བུར།	斯特拉斯堡
རྒྱུད་དྲུག	吉他
མཚན་མཐུན་དགའ་རོགས་སྒྲིག་པ།	同性戀
ཧོ་མུར།	荷马
དི་ཇཱོན།	第戎
ལུ་ག་ནོ།	盧加諾
སངས་རྒྱས། (ཐ་སྙད།)	佛
ལྷ་མེད་སྨྲ་བ་པོ།	无神论
ལི་པའེ།	李白
དཔེ་མཛོད་ཁང་།	图书馆
ཆབ་སྲིད་ཀྱི།	政治
ཆིན་རྒྱལ་རབས།	秦朝
ཆིན་ཧྲི་ཧོང་།	秦始皇
ཨོ་བི་རྡི།	奧維德
ཧན་རྒྱལ་རབས།	汉朝
ལིའུ་པང་།	刘邦
ཧན་ཝུའུ་ཏི།	汉武帝
ཐོར་སི་ཐའེ།	列夫·托爾斯泰
མར་ཁེ་སེ་རིང་ལུགས།	马克思主义
ཧན་གྱི་བརྒྱད་པ་གླེའུ་གོང་བུ་	汉光武帝
རྒྱལ་སྲིད།	君主制
འཁྲབ་སྒྲགས།	政治宣传
བྱ་སྒྲོ་སྤོ་ལོ།	羽毛球
རི་བོ་ཆི་ལི་མ་ཀྲ་ལུའོ།	乞力马扎罗山
ཁ་སྐྱེལ་པ།	親吻
ཡོན་རྒྱལ་རབས།	元朝
ཁ་རི་སི་ཐོའོ་ཧྥུ་ཀོ་ལུན་སྤུ་སི།	克里斯托弗·哥伦布
སེང་གེ་ཁ་འབབ	印度河
ཅིན་རྒྱལ་རབས།	晋朝
རྨ་ཆུ།	黄河
སྣ།	鼻
མིག	眼
ལུག	綿羊
མཚོ་ཕག	海豚
གཏུམ་ཉ།	鲨鱼
རྔ་མོང་།	骆驼
འུ་འཐུང་སྲོག་ཆགས།	哺乳动物
གླང་ཆེན།	象
འབུ་གྲོག་མ།	蚂蚁
མར་ག་རེ་ཐ་ཁྲ་ཆེའར།	玛格丽特·撒切尔
སུང་ཐའེ་ཙུའུ།	赵匡胤
མེ་ཚལ་དཀར་པོ།	花椰菜
རྡོ་ལུ་མ།	茄
བྱ་གག	鸭科
ཨ་མ།	母親
ཨ་ཕ།	父親
ཕྲུ་གུ	儿童
ཇང་མར་ཀི་ཨེ་རོ།	让-马克·埃罗
ཨུ་རུ་སུའི་སྐད།	俄语
ཁྲིམས།	法律
ཡོ་རོབ་གི་ལོ་རྒྱུས།	欧洲历史
ཧོའོ་མར་སིམ་བུ་སན།	霍默·辛普森
༄༅༎ ཡོངས་ཁྱབ་གསལ་བསྒྲགས་འགྲོ་བ་མིའི་ཐོབ་ཐང༌།	世界人权宣言
ཆའོ་ཐོ།	喬托·迪·邦多納
རྒྱ་སྐད།	汉语
ཁྲག	血液
ཊོའུ་ལོའུ་སེ།	圖盧茲
ཆར་པ།	雨
ཟེན།	禅宗
རང་བྱུང་གི་ཚན་རིག	自然科学
འགྲིམ་འགྲུལ་བརྡ་སྒྲོན།	交通號誌
འཕྲེད་བརྒལ་ལམ།	行人穿越道
ཝིན་སུ་ཏོན་ཆུར་ཆེལ།	温斯顿·丘吉尔
སན་ཏོ་ཨོའོ་ཀོའོ་སེ་ཐིང་།	希波的奥古斯丁
ནེལ་སོན་མཱན་ཌེ་ལ།	纳尔逊·曼德拉
མར་ཏིན་ལུ་ཏར་ཁིན།	马丁·路德·金
མེ་རི།	火山
སྤྲིན།	云
དབྱིབས་རྩིས་རིག་པ།	几何学
བརྡ་སྤྲོད་ཀྱི་གཞུང་།	语法
རླུང་།	風
དཔལ་འབྱོར་རིག་པ།	经济学
སྐད་བརྡ་རིག་པ།	语言学
སྒྲ་ཚན།	音位
ཀེ་རི་སིའི་དབྱངས་གསལ་རེའུ་མིག	希腊字母
Category:པུ་ར་ག་རི་ཡ།	Category:保加利亚
རྩོམ་རིག་ཡི་གེའི་རིག་པ།	文學
Category:ཧྥ་རན་སི།	Category:法国
Category:རོལ་དབྱངས།	Category:音乐
Category:རྩོམ་རིག	Category:文学
ཁང་ཆེན་དམར་པོའི་རྨི་ལམ།	红楼梦
མན་གྷ།	日本漫画
ཨེ་ལི་ཡེ་ཏེ།	伊利亚特
༼མ་ཧ་བ་ར་ཏ།༽	摩诃婆罗多
ཝ་མོ།	狐
ཝ་དམར།	赤狐
འཁྱིལ་ཆུང་།	小號
ཨོག་ལེན།	小提琴
ཆགས་སྦྱོར་བྱེད་སྟངས་ཀྱི་ཐོ།	性交体位
ལག་གཡེམ།	自慰
བཤང་སྒོའི་ཆགས་སྦྱོར།	肛交
སློབ་གསོ།	教育
ཁྱིམ་ཚང་།	家庭
ཕོ་གཞོན།	男性
ཆང་ས།	婚姻
བྲན་གཡོག་རིང་ལུགས།	奴隶制度
དམག་དོན།	軍事
ཁོ་ཧྥེ།	咖啡
སིལ་ཁུ།	果汁
སུན་ཀྲུང་ཧྲན།	孫中山
ཧོང་ཀོང་།	香港
ཀ་ར་ཆི	卡拉奇
རིའོ་ཌེ་ཇ་ནེའུ་རའོ།	里约热内卢
སེ་ཨུལ།	首爾
ཧྲང་ཧའེ་གྲོང་ཁྱེར།	上海市
རིག་གནས་གསར་བརྗེ་ཆེན་པོ	文化大革命
ཆིང་རྒྱལ་རབས།	清朝
ཨར་ཁི་མེའུ་ཏེ་སི།	阿基米德
ཡོའུ་ཁེ་ལེ་ཏེ།	欧几里得
ཨུཀ་རཡི་ནི་སྐད།	乌克兰语
ནམ་ཆོམ་སི་ཀེ།	诺姆·乔姆斯基
པུ་ཏིང་།	布丁
ཁཱར་ལ་མར་ཁེ་སི།	卡尔·马克思
མོ་ཤི།	摩西
ཧིན་ཏུའི་ཆོས་ལུགས།	印度教
ནུ་མ།	乳房
འོད་རིག་པ་	光
ཀེ་རི་སིའི་སྐད།	希腊语
ཐེ་ཇི་བང་སོ།	泰姬陵
བྱ་ཁྱིའུ།	企鵝
གློག་རྡུལ་འཕྲིན་སྒམ།	电子邮件
ལྷ་གཅིག་ཆོས་ལུགས།	一神論
ལྷ་མང་ཆོས་ལུགས།	多神論
ཏ་ཟིག་གི་སྐད།	波斯语
ཆོས་ལུགས།	宗教
ཨབ་ར་ཧམ།	亞伯拉罕
རོས་ནེ་དེ་ཁར་ཏེ།	勒内·笛卡儿
རང་དབང་ལྷ་མོའི་འདྲ་བརྙན།	自由女神像
ལུམ་བི་ནི་	藍毗尼
འབར་མའི་སྐད།	缅甸语
གཅེར་བུ་བའི་ཆོས་ལུགས།	耆那教
སོག་པོའི་སྐད།	蒙古语
པཱ་ཁི།	巴库
ཡིའུ་ཐའེ་ཆོས་ལུགས།	犹太教
ཐིམ་ཕུ།	廷布
སི་རི་པེ་ཀ་མཚོ་ཁུགས་གྲོང་ཁྱེར།	斯里巴加湾市
དྷི་ལི།	帝力
སིག་གི་ཆོས་ལུགས།	锡克教
ཏིན་ཏོ་རེ་ཏོ།	丁托列托
ཝིན་ཆིའང་	永珍
ལོའོ་ཙེ།	老子
མ་ལེ།	馬累
ཡོ་ག	瑜伽
པི་སི་ཁེག	比什凯克
དུ་ཤང་པེ།	杜尚别
སི་མ་ཆན།	司馬遷
ལུད་ཝིག་ཝིཏ་གེན་སི་ཏེ་ཡིན།	路德维希·维特根斯坦
ཀྲུའུ་ཞི།	朱熹
འདུ་ཤེས།	情绪
སེམས་ཁམས་རིག་པ།	心理学
ཐོ་མཱ་སི་ཨ་ཁི་ཝི་ནཱ་སི།	托马斯·阿奎那
ཕའོ་ལོ་ཝེ་རོ་ནེ་ཟེ།	保罗·委罗内塞
བཅོམ་ལྡན་འདས།	释迦牟尼
མུ་ཧ་མད།	穆罕默德
ནགས་བྱི།	松鼠
བྱ་མ་བྱི།	鼯鼠
ཁུང་ཙིའི་གཞུང་ལུགས།	儒家
ཏོའོ་ཅོའོ་ཆོས་ལུགས།	道教
ཛོ་ར་སིའི་ཆོས་ལུགས།	琐罗亚斯德教
སྐེ།	頸
ཁ།	口腔
ཐང་རྒྱལ་རབས།	唐朝
ཐང་ཀའོ་ཙུང་།	唐高宗
གནའ་གཞུང་རོལ་དབྱངས།	古典音乐
ཝུའུ་ཙེ་ཐེན།	武则天
ཐང་ཞོན་ཙུང་།	唐玄宗
ཨལ་ཧྥ།	Α
ཨོ་མེ་ག	Ω
མིའུ།	Μ
མིང་རྒྱལ་རབས།	明朝
ཀྲུའུ་ཡོན་ཀྲང་།	朱元璋
ཧྥའེ།	Φ
ཙོ་ལུའུའི་སྐད།	祖鲁语
ཕའེ་ཐ་གྷོ་ར་ཟི།	毕达哥拉斯
ཕཱར་ཧྥེ་ནན།	帕德嫩神廟
དབུལ་ཕོངས།	貧窮
རྩ་རྫས་ཀྱི་དུས་འཁོར་རེའུ་མིག།	元素周期表
ཅོར་ཅི་ཐོན། (གུ་ཡ་ན།)	乔治敦 (圭亚那)
རང་ཤི་རྒྱབ་པ།	自殺
ཆགས་སྦྱོར་གྱི་མཁོ་ཆས།	性玩具
ཆགས་སྦྱོར་གྱི་ཨ་ལས་པད་གོག	性愛娃娃
ཤིང་།	树
ལེམ་ད།	Λ
ཆུར་བ།	乾酪
རྒུནའབྲུམ།	葡萄
ཞོ་ཁོག	马铃薯
སྲན་སེར།	大豆
འཕྲུལ་འཁོར།	机械
གཅུ་འཛེར།	螺絲
གསར་འགོད།	新闻学
ཚགས་པར།	報紙
རིག་གནས།	文化
ལེགས་སྦྱར་སྐད།	梵语
སྨན།	医学
ས་ར་ཇི་བོ།	塞拉耶佛
ཚྭ།	食盐
Category:པུ་རུ་ཟིལ།	Category:巴西
Category:རོ་མ་ནི་ཡ།	Category:罗马尼亚
དབང་ཕྱུག	湿婆
ཁྱབ་​འཇུག	毗湿奴
ཚངས་པ།	梵天
རྔ།	鼓
གླིང་བུ།	笛
རོལ་རྩེད།	游戏
མིག་མངས་སྒོར་སྒོར།	围棋
ཁ་ར་ཏེ།	空手道
འབོལ་འཇུ།	柔道
རྩེད་ཆས།	玩具
གློག་བརྙན།	电影
འགུལ་རིས་གློག་བརྙན།	动画
སོ་ནམ།	农业
སྒྲ་	声音
དྲོད་ཚད་	温度
དུས་ཚོད།	时间
ཤོག་བུ།	纸
གྲངས་ཀ།	数
སྟོང་ཁེའུ།	千克
སྨི།	米 (单位)
སྐར་ཆ།	秒
ཨ་ཤོམ།	玉米
ནས།	大麦
ཁེལ།	开尔文
སྤྱི་ཧྲན།	公升
རི་མོ།	绘画
འོད་པར་རྒྱབ་ཐབས།	摄影
ཟློས་གར།	劇場 (藝術)
ཞབས་བྲོ།	舞蹈
ཁྲུང་ཆིན་གྲོང་ཁྱེར།	重庆市
ཐན་ཅིན ་གྲོང་ཁྱེར།	天津市
ཝུའུ་ཧན་གྲོང་ཁྱེར།	武汉市
རྒྱལ་ཁབ་དག་གི་མིང་།	世界政區索引
ལོ་རྒྱུས་བྱུང་གོང་གི་དུས་མཚམས།	史前時代
རྡོ་ཆས་སྤྱོད་པའི་དུས་རབས།	石器時代
ཟངས་ཆས་སྤྱོད་པའི་དུས་རབས།	青铜时代
ལྕགས་ཆས་སྤྱོད་པའི་དུས་རབས།	铁器时代
གནའ་རབས་ཀེ་རི་སི།	古希腊
དོམ།	熊科
༄༅།། གངས་དཀར་སྲས་མོ།	白雪公主
༄༅།། ཞྭ་མོ་དམར་ཆུང་།	小红帽
མིག་གིའི་ཙི་ཙི།	米老鼠
མིན་ནིའི་ཙི་ཙི།	米妮老鼠
མངལ་སྦུམ་པ།	妊娠
བེ་ཤིང་།	栎属
ཐང་ཤིང་།	松屬
འབྲས་སྐྲན།	癌症
སྐྱུག་ཤལ་འགོས་ནད།	霍亂
གྲོ་ནག	裸麥
གྲི་རྩེད།	击剑
ཡུག་པོ།	燕麦
གྲོ།	小麦
འབྲུ་རིགས།	谷物
འོན་པ	聾
ན་ཚ།	疾病
བེ་རེ་སི་ཊི། (ཧྥ་རན་སི།)	布雷斯特 (法国)
གློ་གཅོང་གི་ནད།	結核
མ་ཅང་།	麻将
ཁང་རྩིག་བཟོ་རིག	建筑
ཟམ་པ།	橋
མོ་ན་ལི་ས།	蒙娜丽莎
ལྕགས་རི་རིང་པོ།	长城
གློག་རིག་པ།	電
དཔའ་དམ།	劍
ཝོ་ཁ་ལུ་ཟེ།	沃克吕兹省
ཨུམ་བེར་ཏོ་ཨེ་ཀོ།	翁贝托·埃可
ཁྲབ་ལྡན་འཁོར་ལོ།	坦克
ཕོ་ལོ་ཁོའེ་ལོ།	保羅·科爾賀
མ་ཇུ་རོ།	馬久羅
མ་རིན་ལེ་པེན།	马琳·勒庞
འབྲུག་ཚགས།	荔枝
བེ་ཏ།	椰
སེ་འབྲུ།	石榴
ཁམ་བུ།	桃
ཚ་ལུ་མ།	橙
སྤྲེལ་ཁམ།	奇異果
ཀྲོང་སྐད།	壮语
ཡུལ་གོར་སྐད།	维吾尔语
ཀ་རཱ་ར།	卡拉拉
འབུར་མདའ།	凸轮轴
ཐའེ་པོ་ཆུ་བོ།	台伯河
ནུ་ཤུབ།	胸罩
ཨན་ཇེ་ལི་ནའ་ཇོའོ་ལི།	安吉丽娜·朱莉
ཨ་རབ་སྐད།	阿拉伯语
ཧོན་ཤུ།	本州
སྲུང་ཤུབས།	避孕套
ཥིང་ཏ་ལ་	棕榈科
མོ་ཟ་རེལ་ལ། (ཆུར་བ།)	莫薩里拉乾酪
ཁོར་སི་ཁ་གླིང་ཕྲན།	科西嘉岛
པིས་ཐ།	Β
གྷེ་མ།	Γ
དེལ་ཐ།	Δ
ཨེ་ཕི་སེ་ལོན།	Ε
ཟེས་ཐ།	Ζ
ཨིས་ཐ།	Η
ཐིས་ཐ།	Θ
ཨའོ་ཐ།	Ι
ཁེ་ཕི།	Κ
ནིའུ།	Ν
ཁི་སའེ།	Ξ
ཨོ་མི་ཁི་རོན།	Ο
རོའུ།	Ρ
སིག་མ།	Σ
ཐོ།	Τ
ཡུབ་སི་ལོན།	Υ
ཁའེ།	Χ
ཕི་སའེ།	Ψ
ཀླུ་ཥིང་	仙人掌
གོ་རེ་ཤིང་འབྲས།	麵包樹
སྒྲོག་སྟེང་རྐང་རྩེད་སྤོ་ལོ།	桌上足球
ཧུའུ་ཅིན་ཐོའོ།	胡锦涛
ཞིས་ཅིན་ཕིང་།	习近平
ཤ་བ་སྐེ་རིང་།	长颈鹿
ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	普罗旺斯-阿尔卑斯-蓝色海岸
མཆུ།	唇
ཀོང་ཏུང་ཞིང་ཆེན།	广东省
ཀོའོང་ཤི་ཀྲོང་རིགས་རང་སྐྱོང་ལྗོངས།	广西壮族自治区
པར་ཆས།	照相機
སྲམ་ངང་མཆུ་ཅན།	鸭嘴兽
དུ་ཅིའོ།	杜喬·迪·博尼塞尼亞
རྩིགས་རྨིགས།	壁虎
རྩངས་པ།	蜥蜴
ཁ་ཏ་ཉ། (ཞིང་ཆེན།)	卡塔尼亞省
མེ་སི་ན། (ཞིང་ཆེན།)	墨西拿省
ཕ་ལེར་མོ། (ཞིང་ཆེན།)	巴勒莫省
དཔུང་པ།	肩
མི་དི་ཕི་རེ་ནེ།	南部-比利牛斯
ལི་ཞོའོ་ལུང་།	李小龙
Template:Link FA	Template:Link FA
ཁྲིམས་དཔོན།	法官
ཀོང་ཀྲོའུ་གྲོང་ཁྱེར།	广州市
ཅང་རྩེ་མིན།	江泽民
ཨུ་རུམ་ཆི་གྲོང་ཁྱེར།	乌鲁木齐市
ཅང་སུའུ་ཞིང་ཆེན།	江苏省
ཀྲེ་ཅང་ཞིང་ཆེན།	浙江省
ཨེཏ་ན་རི་བོ།	埃特纳火山
རེ་འབྱམས་མཆུ་རིང་།	恆河鱷
ཇི་ཡོ་ཝ་ནི་བེལ་ལི་ནི།	乔瓦尼·贝利尼
བོད་ཡུལ།	藏区
བོད་རང་སྐྱོང་ལྗོངས།	西藏自治区
བསྟན་འཛིན་རྒྱ་མཚོ།	第十四世达赖喇嘛
ལག་ཐོག་ཁ་དཔར།	移动电话
འགག་བརྡར་གྱི་སྒྲ།	塞擦音
ཁང་ཞི། (གོང་མ།)	康熙帝
བགྲེས་སོང་གི་ལོ་ཚོད།	成人年龄
ཧོ་ནོ་ལུ་ལུ།	檀香山
ཀོ་རི་ཡ།	朝鲜 (称谓)
ཀོའོ་ཤིན་ཅན།	高行健
སྤྱང་ཀི	狼
ཕོང་ཡང་།	平壤
ཡེ་དེན་གྱི་ལདུམ་རའི་སྐོར།	伊甸園
༩ (གྲངས་ཀ།)	9
ཆན་ལུང་། (གོང་མ།)	乾隆帝
ཧའེ་ལུང་ཅང་ཞིང་ཆེན།	黑龙江省
ཁྱུ་དགའ།	鹈鹕
པོ་དོལ་སིག	波多利斯克
བོ་ནོ་བོ།	倭黑猩猩
པུ་ཁ་རེ་སིད།	布加勒斯特
ཨཱལ་གྷོར།	阿尔·戈尔
ལུའུ་བུ་ཝི་ཕོ་བྲང་།	卢浮宫
ཐེམ་ཟི་གཙང་པོ།	泰晤士河
ཐིས་རན།	地拉那
བོང་བུ།	驴
སི་ཁྲོན་ཞིང་ཆེན།	四川省
ཡེ་ཤུའི་འཁྲུངས་སྐར།	圣诞节
ལ་ཊིན་ནས་ཆད་པའི་ཡུལ་སྐད།	罗曼语族
སེ་ཏེའི་ཧྥུ་འོ་པོ་སེ།	史蒂夫·乔布斯
ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	印欧语系
སྟག	虎
ཅི་སི་ནའུ།	基希讷乌
རང་བྱུང་གྲངས།	自然数
སྤྱི་ཚོགས་རིག་པ།	社会学
རྒྱལ་སྤྱིའི་སྒྲ་རྟགས།	國際音標
ཧའོ་པེ་ཞིང་ཆེན།	河北省
ཨོ་རི་ས།	奥里萨邦
པན་ཇབ།	旁遮普邦
མེ་ཊི་ཛི།	梅斯
རི་འཛེག་ལུས་རྩལ།	攀岩
ཚྭ་མཚོའི་གྲོང་ཁྱེར།	盐湖城
༧ (གྲངས་ཀ།)	7
༨ (གྲངས་ཀ།)	8
Jean Auguste Dominique Ingres	让·奥古斯特·多米尼克·安格尔
གཟའ་འཁོར།	星期
ཤ་བ།	鹿科
སྒོག་ལོག	蒜
མིའི་རིགས་དཔྱད་པའི་རིག་པ།	人类学
རྡོ་ཀུབ།	黄瓜
ཝུ་ལན་བ་ཐུར	乌兰巴托
ཨ་ཧྲི་ཁ་པད།	阿什哈巴德
དཀར་པོ།	白色
ནག་པོ།	黑色
ཙོང་རིལ།	洋蔥
༦ (གྲངས་ཀ།)	6
ལྡུམ་སྒོང་།	番茄
ཨ་ཊི་ལཱན་ཊཱ།	亚特兰大
ཝེ་ལིང་ཐོན།	惠灵顿
ཇི་མི་ཀར་ཀྲར།	吉米·卡特
ཝ་ལེ་ཐ།	瓦莱塔
༡༠ (གྲངས་ཀ།)	10
ཇོའོར་ཇེ་ཁ་ལོན་ནེ།	佐治·古尼
ཨིལ་དཨཱཨུཥ	利拉·唐斯
ཤ་གཟིག	猎豹
ནམ་དུས།	季节
ཝན་ཁུ་ཝེར།	溫哥華
འུག་པ།	貓頭鷹
ཝ་ཐི།	瓦特
རྒྱལ་བ་ཐུབ་བསྟན་རྒྱ་མཚོ།	第十三世達賴喇嘛
མཁས་གྲུབ་རྒྱ་མཚོ་	第十一世達賴喇嘛
ཤིང་སྟག་པ།	桦木属
ཚུལ་ཁྲིམ་རྒྱ་མཚོ་	第十世达赖喇嘛
ལུང་རྟོགས་རྒྱ་མཚོ་	第九世达赖喇嘛
པུ་ཤུད།	戴胜
བྱམས་སྤེལ་རྒྱ་མཚོ་	第八世达赖喇嘛
ཝོལ།	伏特
ངག་དབང་བློ་བཟང་རྒྱ་མཚོ་	第五世达赖喇嘛
ཡོན་ཏན་རྒྱ་མཚོ་	第四世达赖喇嘛
དགེ་འདུན་གྲུབ།	第一世达赖喇嘛
གནམ་གཤིས་རིག་པ།	气象学
སེ་དྲོད།	摄氏温标
ཅོལ།	焦耳
པི་རི་སི་ཊི་ན།	普里什蒂纳
ཨམ་ཕེར།	安培
སྐྱ་ཀ།	喜鹊
སྣ་མའི་མེ་ཏོག	蘭科
བསེ་སྦྲང་།	蟑螂
སོམ་ཤིང་།	冷杉属
ཕོ་རོག	渡鴉
ན་གི།	穿山甲
ཁུ་ལོམ།	库仑
ཞ་ལུ་དགོན།	夏鲁寺
ཁུ་བྱུག	杜鹃科
རྒྱལ་མོ་རྔུལ་ཆུ།	薩爾溫江
གཡག	牦牛
ལི་ཤི།	丁香
བྱང་སྣེའི་སྐྱར་རྟ།	北極燕鷗
གོ་སྙོད།	葛縷子
༄༅།། ཨོ་སེ་ལོ།	奧賽羅
སྟག་ཆུ་སྲིན།	虎鯨
ཁོ་ཁེ་གླིང་ཚོམ།	库克群岛
གྲུམ་བ།	獾
སྐྱར་མོ།	鷗
མི་ཁ་ཨིལ་ཕ་ཁུ་ནིན།	米哈伊尔·亚历山德罗维奇·巴枯宁
གཞས་གཏོང་བ།	歌唱
ཨའི་ནུ་སྐད།	阿伊努語
ལྕ་ཚལ།	旱芹
འདམ་མྱུག	芦笋
ཟེ་མོ་སེར་པོ།	鼬屬
གནའ་རབས་མ་ཡ།	瑪雅文明
ལས་རིགས།	專業
དྲི་ཞིམ་སོན་ཅན།	茴芹
ཁང་བྱིའུ།	雀科
ཧན་ཧྥེ།	韩非
ཧོང་ཏི།	黄帝
མེར་ཁྲེས་ཨ་ཁྲེ་ས་རེས།	马尔蒂·阿赫蒂萨里
ཆུ་ལྷ།	水仙属
རྒྱ་ནག	中國
ཅོ་ཀ།	百灵科
ཆུ་སྲམ།	歐亞水獺
གསའ་གཟིག	雪豹
མཚོ་གཟིག	鰭足類
སེལ་འོ་སུ་འན་གྱི་སྐད	西里西亞語
ཨོ་སི་ཀར་ཝེལ་ཌེ།	奥斯卡·王尔德
ཐི་བ་རིགས་	斑鸠属
མེ་ཤེཀ།	米設
ཡ་རེན།	亞倫區
༩༣ (གྲངས་ཀ།)	93
ཡོ་ས་བུ་སོན།	與謝蕪村
