Африк	非洲
Архимед	阿基米德
Вьетнамын дайн	越南战争
Томас Альва Эдисон	爱迪生
Евклид	欧几里得
Майкл Фарадей	麥可·法拉第
Энрико Ферми	恩里科·费米
Фибоначчи	斐波那契
Хенри Форд	亨利·福特
Жан Батист Жозеф Фурье	约瑟夫·傅里叶
Криптограф	密码学
Internet Protocol	网际协议
Украйн хэл	乌克兰语
Transmission Control Protocol	传输控制协议
Бит	位元
HTML	HTML
ASCII	ASCII
Валенсиа	巴倫西亞
Юникод	Unicode
Мальорка (хөлбөмбөгийн баг)	皇家馬略卡體育會
Малага (хөлбөмбөгийн баг)	馬拉加足球俱樂部
Стивен Спилберг	斯蒂芬·斯皮尔伯格
Аюушридар хаан	元昭宗
Марион Котийяр	瑪莉安·歌迪雅
Төгстөмөр хаан	脱古思帖木儿
Иоханнэс Гутэнбэрг	约翰内斯·古腾堡
Бутралын үеийн Монгол	北元
Жэймс Прэскотт Жоуль	詹姆斯·普雷斯科特·焦耳
Иоханнэс Кеплер	约翰内斯·开普勒
Зоригт хаан	卓里克圖
Макс Планк	马克斯·普朗克
Швед хэл	瑞典語
Никола Тесла	尼古拉·特斯拉
Аль-Хорезми	花拉子米
Жэймс Ватт	詹姆斯·瓦特
Готфрид Вильгельм Лейбниц	戈特弗里德·莱布尼茨
Чех хэл	捷克语
Словак хэл	斯洛伐克语
Карл Маркс	卡尔·马克思
Уолтер Дикс	沃尔特·迪克斯
Унгар/Мажар хэл	匈牙利语
Вольтер	伏爾泰
Эстон хэл	爱沙尼亚语
Мосе	摩西
Литва хэл	立陶宛语
Хиндү шашин	印度教
Беларусь хэл	白俄罗斯语
Жеймс Клерк Максвелл	詹姆斯·克拉克·麦克斯韦
Дмитрий Менделеев	德米特里·伊万诺维奇·门捷列夫
Кенениса Бекеле	克内尼萨·贝耶查
Атом	原子
Эрнест Резерфорд	欧内斯特·卢瑟福
Гэрэл	光
Грек хэл	希腊语
Эрвин Шрёдингер	埃尔温·薛定谔
Домог үлгэр	神话
Үйлдлийн систем	操作系统
Таж Махал	泰姬陵
Програмчлалын хэл	编程语言
Оцон шувуу	企鵝
Цахим шуудан	电子邮件
Монотеизм	一神論
Перс хэл	波斯语
Элбэг нигүүлсэгч хаан	額勒伯克
Шашин	宗教
Солонгос хэл	朝鮮語
Абрахам	亞伯拉罕
Эхлэл	創世記
Эмпайр-Стейт-Билдинг	帝国大厦
Египетээс гарсан нь	出埃及記
Рене Декарт	勒内·笛卡儿
Вьетнам хэл	越南语
Паул	保罗 (使徒)
Эрх чөлөөний хөшөө	自由女神像
Лаос хэл	老挝语
Зигмунд Фрейд	西格蒙德·弗洛伊德
Гүнтөмөр хаан	坤帖木兒
Үгч хашха хаан	鬼力赤
Өлзийтөмөр хаан	本雅失里
Жайнизм	耆那教
Дэлбэг хаан	答里巴
Монгол хэл бичиг	蒙古语
Адай хаан	阿岱汗
Баку	巴库
Тайсун хаан	脱脱不花
Казак хэл бичиг	哈萨克语
Хиргис хэл бичиг	柯尔克孜语
Агваржин хаан	阿噶多尔济
Дэлхийн өв	世界遗产
Эсэн тайш	也先
Узбек хэл	乌孜别克语
Түркмен хэл	土库曼语
Иудаизм	犹太教
Тхимпху	廷布
Бандар Сери Бегаван	斯里巴加湾市
Махагүргис хаан	马儿古儿吉思
Еврей хэл	希伯来语
Азербайжан хэл	阿塞拜疆语
Молон хаан	摩伦汗
Мандуул хаан	满都鲁
Македон хэл	马其顿语
Серб хэл	塞尔维亚语
Батмөнх Даян хаан	达延汗
Барсболд хаан	巴尔斯博罗特
Дили хот	帝力
Иммануил Кант	伊曼努尔·康德
Жон Мейнард Кейнс	约翰·梅纳德·凯恩斯
Боди Алаг хаан	博迪
Вьентьян	永珍
Дарайсүн гүдэн хаан	打来孙
Лао-цзы	老子
Түмэн засагт хаан	圖們 (韃靼)
Буян сэцэн хаан	布延
Лигдэн хаан	林丹汗
Эжэй хаан	额哲
Мале	馬累
Жон Локк	约翰·洛克
Фридрих Ницше	弗里德里希·尼采
Бишкек	比什凯克
Жан Пол Сартр	让-保罗·萨特
Душанбе	杜尚别
Мэргэн Самбуу	Google搜索
Элэг	肝臟
Адам Смит	亚当·斯密
Мэдрэлийн систем	神经系统
Сэтгэл судлал	心理学
Далай	洋
Аквины Фома	托马斯·阿奎那
Гаутама Будда	释迦牟尼
Английн Премьер лиг	英格兰足球超级联赛
Мухамэд	穆罕默德
Ёс зүй	伦理学
Английн хөлбөмбөгийн холбоо	英格蘭足球總會
Шахрух Хан	沙·魯克·罕
Тони Блэр	托尼·布莱尔
Жон Мейжор	约翰·梅杰
Шамонигийн олимп	1924年冬季奥林匹克运动会
Сан-Морицын олимп (1928 он)	1928年冬季奥林匹克运动会
Католик сүм	天主教會
Лэйк-Плэсидийн олимп (1932 он)	1932年冬季奥林匹克运动会
Гармиш-Партенкирхены олимп	1936年冬季奥林匹克运动会
Вена (анатоми)	静脉
Бенгал хэл	孟加拉语
Сан-Морицын олимп (1948 он)	1948年冬季奥林匹克运动会
Челси (хөлбөмбөгийн баг)	切尔西足球俱乐部
Арсенал (хөлбөмбөгийн баг)	阿森纳足球俱乐部
Нойр булчирхай	胰脏
Ослогийн олимп	1952年冬季奥林匹克运动会
Түрүү булчирхай	前列腺
Кортина д'Ампеццогийн олимп	1956年冬季奥林匹克运动会
Ско-Валлигийн олимп	1960年冬季奥林匹克运动会
Инсбрукийн олимп (1964 он)	1964年冬季奥林匹克运动会
Греноблийн олимп	1968年冬季奥林匹克运动会
Саппорогийн олимп	1972年冬季奥林匹克运动会
Инсбрукийн олимп (1976 он)	1976年冬季奥林匹克运动会
Лэйк-Плэсидийн олимп (1980 он)	1980年冬季奥林匹克运动会
Сараевогийн олимп	1984年冬季奥林匹克运动会
Калгарийн олимп	1988年冬季奥林匹克运动会
Альбервиллийн олимп	1992年冬季奥林匹克运动会
Лиллехаммерын олимп	1994年冬季奥林匹克运动会
Наганогийн олимп	1998年冬季奥林匹克运动会
Солт-Лэйк Ситийн олимп	2002年冬季奥林匹克运动会
Турины олимп	2006年冬季奥林匹克运动会
Ванкуверын олимп	2010年冬季奥林匹克运动会
Сочийн (Сочигийн) олимп	2014年冬季奥林匹克运动会
Пёнчангийн олимп	2018年冬季奥林匹克运动会
II Элизабет	伊丽莎白二世
Тан улс	唐朝
Диана гүнж	威爾斯王妃戴安娜
Жон Фицжеральд Кеннеди	约翰·肯尼迪
Ханасан ураны сум	貧鈾
Тан Гаозу	李渊
Тан Тайзун	唐太宗
Оноре де Бальзак	奥诺雷·德·巴尔扎克
Блюз	藍調
Цагаан толгой	字母系統
Үсэг	字母
Эйндховен хот	埃因霍温
Мин улс	明朝
Хаарлем	哈勒姆
Жу Юань Жан	朱元璋
Жэнтун	明英宗
Нидерланд Википедиа	荷蘭語維基百科
Рафаэл Надал	拉斐爾·拿度
Плазм (физик)	等离子体
Пифагор	毕达哥拉斯
Колизей	罗马斗兽场
Ядуурал	貧窮
Сан Себастьян	圣塞瓦斯蒂安
Валенсиа (хөлбөмбөгийн баг)	巴伦西亚足球俱乐部
Жон МакКэйн	約翰·麥凱恩
Дэвид Бекхэм	大卫·贝克汉姆
Райан Гиггз	瑞恩·吉格斯
Том Клеверли	汤姆·克莱维利
Хонь (одны орд)	白羊座
Эшли Янг	艾殊利·楊格
Гордон Браун	戈登·布朗
Ким Жон Ил	金正日
Ангилал:Венесуэл	Category:委内瑞拉
SEGA Mega Drive	Mega Drive
PlayStation 3	PlayStation 3
Кардифф	加的夫
Үелэх систем	元素周期表
Роберт Мугабе	羅伯·穆加貝
Мэрэгч	啮齿目
Тагтаа	鸠鸽科
Испанийн иргэний дайн	西班牙内战
Нян	细菌
Мод	树
Хөвчтөн	脊索动物
Эмо	Emo
Бяслаг	乾酪
Усан үзэм	葡萄
Зөгийн бал	蜂蜜
Мах	肉类食物
Тайгер Вүдс	老虎伍茲
Төмс	马铃薯
Элсэн чихэр	食糖
Хүнсний ногоо	蔬菜
Шар буурцаг	大豆
Снукер биллиард	斯诺克
Технологи	技术
Инженерчлэл	工程学
Мэдээллийн харилцаа	通信
Мэдээлэл	信息
Сэтгүүл зүй	新闻学
Сонин	報紙
Харилцуур утас	电话
Роллинг Стоунз	滚石乐队
Соёл	文化
РНХ	核糖核酸
Санскрит хэл	梵语
Альцхаймерын өвчин	阿兹海默病
Бүдүүн гэдэс	大肠
IP хаяг	IP地址
User Datagram Protocol	用户数据报协议
Super Mario Bros.	超级马里奥兄弟
Химийн холбоо	化合物
NAT	网络地址转换
Дэлхийн хүн ам	世界人口
Анагаах ухаан	医学
Сараево	塞拉耶佛
Америкийн Нэгдсэн Улсын Зэвсэгт хүчин	美军
Тоон анализ	数值分析
Смайл	表情符號 (圖片)
Давс	食盐
Фидель Кастро	菲德尔·卡斯特罗
Ангилал:Бразил	Category:巴西
Вэб сервер	網頁伺服器
Тэнгэр баганадсан байшин	摩天大樓
Ангилал:Румын	Category:罗马尼亚
Химийн элемент	化學元素
Функц (математик)	函数
Органик хими	有机化学
Өнцөг (геометр)	角
Альтернатив рок	另类摇滚
Unix	UNIX
Молекул	分子
Хурдатгал	加速度
Энерги	能量
Дотоод сүлжээ	局域网
Энерги хадгалагдах хууль	能量守恒定律
Цахилгаан соронзон цацрал	电磁波
Хэт улаан туяа	红外线
Хэт ягаан туяа	紫外线
Ховордсон зүйл	瀕危物種
Гэршүүлэлт	馴養
Сонгодог механик	经典力学
Биологийн ангилал	生物分類法
Хүч	力
Цахилгаан соронзон	电磁学
Соронзон орон	磁場
Апартеид	南非種族隔離
Гравитаци	引力
Го	围棋
Хүчтэй харилцан үйлчлэл	强相互作用
Каратэ	空手道
Жүдо	柔道
Соронз	磁鐵
Масс	质量
Кино	电影
Хөдөлгөөнт дүрс	动画
Металл	金属
Ган	钢
Цөм задрах урвал	核裂变
Бодисын төлөв	物质状态
Хий	气体
Шингэн	液体
Хатуу	固体
Усан онгоц	船
Цацраг идэвхт задрал	放射性
Хөдөө аж ахуй	农业
Усжуулалт	灌溉
Харьцангуйн тусгай онол	狭义相对论
Хагас дамжуулагч	半导体
Серена Виллиамс	塞雷娜·威廉姆斯
Хувцас	服装
Дуу	声音
Adobe Systems	Adobe Systems
Температур	温度
Нанотехнологи	纳米技术
Цаг хугацаа	时间
Термодинамик	热力学
Пифагорын теорем	勾股定理
Гамма цацраг	伽马射线
Комплекс тоо	复数 (数学)
Килограмм	千克
Кристиано Рональдо	基斯坦奴·朗拿度
Метр	米 (单位)
Секунд	秒
Кельвин	开尔文
Литр	公升
Икер Касильяс	伊克尔·卡西利亚斯
Харри Трумэн	哈里·S·杜鲁门
Гэрэл зураг авалт	摄影
Бүжиг	舞蹈
Нирвана (хамтлаг)	涅槃乐队
Электроник	电子学
Цахилгаан гүйдэл	电流
Давтамж	頻率
Диод	二極管
Трансформатор	变压器
Хиймэл оюун	人工智能
Цаг агаар	天气
Ким Клийстерс	金·克萊斯特絲
Уолл Стрит	华尔街
Бонд	债券
Зүүн Өмнөд Ази	东南亚
Сиемреап	暹粒市
Шэньян хот	沈阳市
Чунцин	重庆市
Карл Реннер	卡尔·伦纳
Тяньжинь	天津市
Үхань	武汉市
Улс орнуудын жагсаалт	世界政區索引
Нагоя	名古屋市
Хайнц Фишер	海因茨·菲舍尔
Балар эртний үе	史前時代
Чулуун зэвсгийн үе	石器時代
Хүрэл зэвсгийн үе	青铜时代
Төмөр зэвсгийн үе	铁器时代
Месопотам	美索不达米亚
Эртний Египет	古埃及
Берингийн хоолой	白令海峡
Эртний Грек	古希腊
Баавгай	熊科
Силвио Берлускони	西尔维奥·贝卢斯科尼
Уиллиам Роуан Хэмилтон	威廉·哈密頓
Кевин Костнер	凯文·科斯特纳
Дрис Мертенс	德赖斯·梅滕斯
Ола Тойвонен	奧拉·杜禾倫
Бафетимби Гомис	巴费蒂姆比·戈米
Лас Пальмас	拉斯帕尔马斯
Бритни Спирс	布蘭妮·斯皮爾斯
Хоол боловсруулалт	消化作用
Фотосинтез	光合作用
Жирэмслэлт	妊娠
Кайли Миноуг	凯莉·米洛
Дэйв Грол	戴夫·格羅爾
Нарс	松屬
Хорт хавдар	癌症
Анри Дюнан	亨利·杜南
Улаан буудай	小麦
Амуу	谷物
Бретань муж	布列塔尼
Цагалбар	历法
Өвчин	疾病
Григорийн тоолол	公历
Эм (ерөндөг)	藥物治療
Цагийн бүс	时区
Зүрхний шигдээс	心肌梗死
Таргалалт	肥胖症
Дархлалын олдмол хомсдол	艾滋病
Сүрьеэ	結核
Загвар:Location map Germany	Template:Location map Germany
Чихрийн шижин	糖尿病
Курд үндэстэн	库尔德人
Загвар:Location map Spain	Template:Location map Spain
Загвар:Location map Italy	Template:Location map Italy
Архитектур	建筑
Загвар:Location map Slovenia	Template:Location map Slovenia
Загвар:Location map Ukraine	Template:Location map Ukraine
Загвар:Location map Kazakhstan	Template:Location map Kazakhstan
Боомт	水坝
Загвар:Location map Iran	Template:Location map Iran
Загвар:Location map UAE	Template:Location map United Arab Emirates
Загвар:Location map India	Template:Location map India
Загвар:Location map Burma	Template:Location map Myanmar
Загвар:Location map Mongolia	Template:Location map Mongolia
Загвар:Location map China	Template:Location map China
Загвар:Location map Vietnam	Template:Location map Vietnam
Загвар:Location map Marshall Islands	Template:Location map Marshall islands
Мона Лиза	蒙娜丽莎
Пиренейн уулс	比利牛斯山
Ньютон (нэгж)	牛頓 (單位)
Олон улсын нэгжийн систем	国际单位制
Тооны онол	数论
Бурж Халифа	哈里發塔
Цагаан хэрэм	长城
Бүхэл тоо	整数
Софийн цогчин дуган	圣索菲亚大教堂
Бөмбөлөг	球面
Шат	楼梯
Гар аймаг	加尔省
Цамхаг	塔式建築
Гэгээрлийн үе	啟蒙時代
Ацтек	阿茲特克
Византын эзэнт гүрэн	拜占庭帝国
Эро аймаг	埃罗省
Загалмайтны аян дайн	十字軍東征
Ариун Ромын эзэнт гүрэн	神圣罗马帝国
Зуун жилийн дайн	百年战争
Дундад зуун	中世纪
Их Монгол улс	蒙古帝国
Османы эзэнт гүрэн	奥斯曼帝国
Протестант шинэчлэл	宗教改革
Викингүүд	維京人
Латин Америк	拉丁美洲
Небухаднезар II	尼布甲尼撒二世
Мексикийн булан	墨西哥湾
Дотоодын нийт бүтээгдэхүүн	国内生产总值
Вильхелм Оствальд	威廉·奥斯特瓦尔德
Рудольф Дизель	鲁道夫·狄塞尔
Уран бичлэг	书法
Нитобэ Иназо	新渡戶稻造
Сэргээгдэх эрчим хүч	可再生能源
Максим Горький	马克西姆·高尔基
Дорно Пиреней	东比利牛斯省
Цөмийн эрчим хүч	核動力
Шатах ашигт малтмал	化石燃料
Галт зэвсэг	枪械
Цөмийн зэвсэг	核武器
Сампин	算盘
Иберийн хойг	伊比利亚半岛
Дарь	火药
Танк	坦克
Жорж Сорос	乔治·索罗斯
Марин Ле Пен	马琳·勒庞
Стид Мальбранк	斯蒂德·马尔布兰克
Бенилюкс	比荷卢经济联盟
Цэцэрлэгийн гүзээлзгэнэ	草莓
WordPress	WordPress
Үхрийн нүд	黑莓
Далдуу мод	椰
Жүрж	橙
Уйгур хэл	维吾尔语
Грац	格拉茨
Пиза	比萨
Загвар:Location map Nicaragua	Template:Location map Nicaragua
Загвар:Location map Cuba	Template:Location map Cuba
Загвар:Location map Earth	Template:Location map Earth
Нью-Йоркийн хөрөнгийн бирж	纽约证券交易所
Хиймэл арал	人工岛
Адиже гол	阿迪杰河
Mезоамерик	中部美洲
Гаи Фоокс	盖伊·福克斯
Анжелина Жоли	安吉丽娜·朱莉
Иль-де-Франс	法兰西岛
Адриатын тэнгис	亚得里亚海
Араб хэл	阿拉伯语
Талархлын баяр	感恩节
Тарту	塔尔图
Блүүмбэрг Телевиз	彭博電視
Хоншүү	本州
Ян-Майен	揚馬延
Эрвин Роммель	埃尔温·隆美尔
Чөлөөт агуулга	自由內容
Цээжнээс шахалт	仰臥推舉
Умар Солонгос улсын хөлбөмбөгийн шигшээ баг	朝鮮國家足球隊
Тахо гол	塔霍河
Дуэро гол	杜罗河
Тэжун ван	朝鲜太宗
Виториа-Гастейс	維多利亞 (西班牙)
Санта Круз де Тенерифе	圣克鲁斯-德特内里费
Тираннозавр	暴龍屬
Нохой зээх	貂熊
И Мён-Бак	李明博
Ну Мү-Хён	盧武鉉
Пак Жон-Хыи	朴正熙
Жон Дү-Хуан	全斗煥
Сава гол	薩瓦河
Брахиозавр	腕龍屬
Икике	伊基克
Пасха арал	復活節島
Анатотитан	连接埃德蒙顿龙
Оптик	光学
Mach operating system	Mach
Соларис (үйлдлийн систем)	Solaris
Харандаа	铅笔
Финийн булан	芬蘭灣
Макао	澳門
Загвар:Location map Morocco	Template:Location map Morocco
Загвар:Location map Libya	Template:Location map Libya
Загвар:Location map Niger	Template:Location map Niger
Загвар:Location map Guinea	Template:Location map Guinea
Загвар:Location map Ghana	Template:Location map Ghana
Загвар:Location map Rwanda	Template:Location map Rwanda
Загвар:Location map Tanzania	Template:Location map Tanzania
Загвар:Location map Namibia	Template:Location map Namibia
Загвар:Location map Comoros	Template:Location map Comoros
Брно	布爾諾
Анааш	长颈鹿
Ром аймаг	羅馬省
Милан аймаг	米蘭省
Шэньжэнь	深圳市
Зөвлөлт Холбоот Улс	苏联
Жек Уилшир	杰克·威尔希尔
Бөгжний эзэн	魔戒
Дэлхийн царцдас	地壳
Хонконгийн их сургууль	香港大學
Хонконгийн хятад их сургууль	香港中文大學
Жервис Булангийн Нутаг Дэвсгэр	傑維斯灣領地
Лил Уэйн	小韋恩
Гэр	蒙古包
Си хэл	C语言
Бавари Мюнхен	拜仁慕尼黑足球俱乐部
Хосе Мануэл Барросо	若泽·曼努埃尔·巴罗佐
Queen (хамтлаг)	皇后乐队
Норманди	諾曼底
Металлика	金属乐队
Трбовле	特尔伯夫列
Палермо аймаг	巴勒莫省
Пеньярол (хөлбөмбөгийн баг)	佩那罗尔足球俱乐部
Персональ компьютер	个人电脑
XML Schema (W3C)	XML Schema
Брюс Ли	李小龙
Катрина хар салхи	颶風卡特里娜
Wikipedia:Онцлох өгүүлэл	Wikipedia:特色条目
Загвар:Link FA	Template:Link FA
Өдөр	日光
Ертөнц	世界
Wikipedia:Хурал	Wikipedia:互助客栈
Пүсань	釜山廣域市
Цацаргин	莲
South Park	南方公園
Вермонт	佛蒙特州
Денвер	丹佛
Гуанжоу	广州市
Чан Кайши	蔣中正
Наньжин (Нанжин)	南京市
Кейли Куоко	凯莉·库柯
Эдгар Аллан По	爱伦·坡
Бээжингийн их сургууль	北京大学
Доор Норманд	下诺曼底
Чинхуа их сургууль	清华大学
Зүүн Герман	東德
Өрөмч хот	乌鲁木齐市
Дээр Норманд	上諾曼地
Жянсү	江苏省
Жөжян	浙江省
Бэкстрит Бойз	後街男孩
Харви Милк	哈維·米爾克
Өндөг	卵
Салоники	塞萨洛尼基
Карлес Пуйоль	卡莱斯·普约尔
Төвөд	藏区
Тойрог	圆
Арван дөрөвдүгээр Далай лам	第十四世达赖喇嘛
Grand Theft Auto V	俠盜獵車手V
Жон Фон Нейман	约翰·冯·诺伊曼
Анциклопедиа	偽基百科
Clube de Regatas do Flamengo	法林明高競賽會
Тиаго Алкантара	蒂亚戈·阿尔坎塔拉
Москвагийн Динамо	莫斯科迪纳摩足球俱乐部
Сеск Фабрегас	塞斯克·法比加斯
Шави	哈維
Жерар Пике	赫拉德·皮克
Хосе Мануэль Пинто	何塞·曼努埃尔·平托
Гар утас	移动电话
Стивен Хокинг	史蒂芬·霍金
Оскар Робертсон	奥斯卡·罗伯逊
Аксиом	公理
Онол	理論
Энх Амгалан хаан	康熙帝
Балларат	巴拉瑞特
ЛГБТ	LGBT
Бэлгийн чиг хандлага	性取向
Сапфо	莎孚
Арагацотн аймаг	阿拉加措特恩省
Хонолулу	檀香山
Солонгос	朝鲜 (称谓)
1925 он	1925年
1927 он	1927年
Манчестер	曼彻斯特
Гао Шинжиэнь	高行健
АББА	ABBA
Физик космологи	物理宇宙学
Юн-Инь	龍仁市
Саарал чоно	狼
Бөмбөг	球 (體育)
1955 он	1955年
1954 он	1954年
1953 он	1953年
1951 он	1951年
Sony Computer Entertainment	索尼電腦娛樂
1950 он	1950年
1946 он	1946年
1943 он	1943年
1942 он	1942年
1940 он	1940年
1939 он	1939年
1938 он	1938年
1937 он	1937年
1936 он	1936年
Манчэстэр Юнайтэд	曼徹斯特聯足球俱樂部
1935 он	1935年
Суонси Сити	斯旺西城足球俱乐部
Фулхэм (хөлбөмбөгийн баг)	富勒姆足球俱乐部
Астон Вилла	阿士東維拉足球會
1934 он	1934年
Ньюкасл Юнайтед	纽卡斯尔联足球俱乐部
Норвич Сити	诺维奇城足球俱乐部
Куинз Парк Рейнжерс	女王公园巡游者足球俱乐部
1933 он	1933年
Саутхемптон (хөлбөмбөгийн баг)	南安普顿足球俱乐部
Сток Сити	斯托克城足球俱乐部
Сандерлэнд (хөлбөмбөгийн баг)	桑德兰足球俱乐部
Тоттенхэм Хотспур	托特纳姆热刺足球俱乐部
1932 он	1932年
Вест Бромвич Альбион	西布罗姆维奇足球俱乐部
Вест Хэм Юнайтед	西汉姆联足球俱乐部
Уиган Атлетик	威根竞技足球俱乐部
УЕФА Аваргуудын Лиг	欧洲冠军联赛
УЕФА Европын лиг	欧足联欧洲联赛
1931 он	1931年
1930 он	1930年
1929 он	1929年
Пхеньян (Пёнъян)	平壤
Шинэ Гэрээ	新約聖經
GPS байршил тогтоох систем	全球定位系统
Дархан-Уул	达尔汗乌勒省
Бахим амуулай	鷗嘴燕鷗
Буурал сүвээцагаан	灰斑鸻
Шугуйн хөгчүү	林鹬
Морин цууцал	黑尾塍鹬
Эгэл хайргын хөгчүү	矶鹬
Матигар хөгчүүлэг	翹嘴鷸
Бэсрэг тутгалжин	中杓鹬
Азийн сүвээцагаан	太平洋金斑鴴
Эгэл хараалай	普通燕鷗
Али Сиссоко	埃莱·西索科
Гүрж угсаатан	喬治亞人
Том Инс	湯馬士·恩斯
Skrillex	史奇雷克斯
Оскарын шагнал	奥斯卡金像奖
2010-11 оны Ла Лиг	2010–11賽季西班牙足球甲級聯賽
Сванети	斯瓦涅季
Маме Бирам Диуф	马默·比莱姆·迪乌夫
Голын далайн гахай	淡水豚
Дэлхийн улсуудын дотоодын нийт бүтээгдэхүүний жагсаалт (нэрлэсэн үнэ)	各国国内生产总值列表 (国际汇率)
Тэнгэр тэтгэгч хаан	乾隆帝
Хармөрөн	黑龙江省
Селебесийн тэнгис	西里伯斯海
Хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	世界盃足球賽
Карл Хенри	卡爾·亨利 (足球運動員)
Даниэль Парехо	丹尼尔·帕雷霍
Эвер Банега	埃沃·巴内加
Хотон (шувуу)	鹈鹕
Серхио Каналес	沙治奧·簡拿利斯
Бирмингем Сити	伯明翰足球會
Блэкберн Роверс	布莱克本流浪者足球俱乐部
Блэкпүүл (хөлбөмбөгийн баг)	黑池足球會
Болтон Уондерерс	博尔顿足球俱乐部
Чарльтон Атлетик	查尔顿竞技足球俱乐部
Сартаг	撒里答
Нячанг	芽莊市
Оскар (1991 оны хөлбөмбөгчин)	奥斯卡·多斯桑托斯·埃姆博阿巴·儒尼奥尔
Вулверхэмптон Уондерерс	伍尔弗汉普顿流浪足球俱乐部
Лилль (хөлбөмбөгийн баг)	里尔足球俱乐部
Симфереполь	辛菲罗波尔
1131 он	1131年
Гори	哥里
Селтик баг	凯尔特人足球俱乐部
Олимпиакос (хөлбөмбөгийн баг)	奥林匹亚科斯足球俱乐部
Бухарест	布加勒斯特
1163 он	1163年
Ал Гор	阿尔·戈尔
Лувр	卢浮宫
Тиран	地拉那
1928 он	1928年
Сычуань муж	四川省
Их Хорь	20國集團
Хуучин Гэрээ	旧约圣经
Жош Дюамэл	喬許·杜默
Гурвалжин	三角形
Өндөр жил	闰年
Стив Жобс	史蒂夫·乔布斯
Лэди Гага	Lady Gaga
Энэтхэг-Европын хэлний язгуур	印欧语系
Бар	虎
Лондоны метро	伦敦地铁
Франческо Тотти	弗朗切斯科·托蒂
IU (дуучин)	IU (歌手)
PSY	PSY
Сунёшидэ	少女时代
Жо Пеши	乔·佩西
Каннам дүүрэг	江南區 (首爾)
Алан Загоев	阿倫·迪沙哥夫
Сүвонь хот	水原市
Александр Густав Эйфель	居斯塔夫·埃菲尔
Тэжон	大田广域市
Тэгү	大邱廣域市
Инчон	仁川廣域市
Кёнги	京畿道
Афганы гөрөөч нохой	阿富汗獵狗
Вунгтау	頭頓市
Кишинёв	基希讷乌
Компьютерийн шинжлэх ухаан	计算机科学
Натурал тоо	自然数
Шалом (сонин)	Şalom報
Аруба	阿魯巴
Windows Mobile	Windows Mobile
Хэбэй	河北省
Тоодгийнхон	鸨
ГНУ чөлөөт баримт бичгийн лиценз	GNU自由文档许可证
Жирх	花栗鼠
Панжаб (Энэтхэг)	旁遮普邦
Тайвань арал	臺灣
Смартфон	智能手机
Газрын тос	石油
Бетон	混凝土
Газарзүйн солбицлын систем	经纬度
2012 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	2012年欧洲足球锦标赛
Гутал	鞋
Бахай шүтлэг	巴哈伊信仰
Банк	銀行
Хоффенхайм (хөлбөмбөгийн баг)	霍芬海姆足球俱乐部
Тахь	普氏野马
Хүн амын нягтрал	人口密度
Лү Шүнь	鲁迅
Вомбат	袋熊
Адель (дуучин)	愛黛兒
Роберто Бенини	羅貝托·貝尼尼
Ауди	奥迪
Абхаз орон	阿布哈茲
Сфорцеско цайз	斯福尔扎城堡
Tэйлор Лотнер	泰勒·洛納
Жереми Реннер	杰瑞米·雷纳
Долоо хоног	星期
Мөс	冰
Нуур	湖泊
Саримс	蒜
Музей Орсе	奥赛博物馆
Хүн судлал	人类学
Улаан тэнгис	红海
Буве арал	布韦岛
Өргөст хэмх	黄瓜
Өвөр Осет	南奥塞梯
Улаанбаатар	乌兰巴托
Эрнест Хемингуэй	欧内斯特·海明威
Эдинбург	爱丁堡
Ашхабад	阿什哈巴德
Октав Мирбо	奥克塔夫·米尔博
Арал	島嶼
Крис Пайн	克里斯·潘恩
Лорди	妖怪樂團
Марсель	马赛
Сонгино	洋蔥
Албан ёсны хэл	官方语言
Археологи	考古学
Улаан лооль	番茄
Пхонг Нха - Ке Банг	峰牙－己榜國家公園
Палтога	帕托加
Балканы хойг	巴尔干半岛
Дмитрий Медведев	德米特里·阿纳托利耶维奇·梅德韦杰夫
Энтрена	恩特雷纳
Экватор	赤道
Протестант урсгал	新教
НАСА	美国国家航空航天局
Бенито Муссолини	贝尼托·墨索里尼
750 он	750年
Веллингтон	惠灵顿
Их Британи (арал)	大不列顛島
Төрийн дуулал	国歌
960 он	960年
Зүг чигийн бэлгэдэл	方位
Византи	拜占庭
Роуэн Аткинсон	路雲·雅堅遜
Палестин	巴勒斯坦
Валлетта	瓦莱塔
Атомын дугаар	原子序数
810 он	810年
Жорж Клуни	佐治·古尼
Лила Даунс	利拉·唐斯
961 он	961年
Сөнөсөн тэнгис	死海
Эндрю Гарфильд	安德魯·加菲爾德
Үчимбэр	猎豹
Нүүрс	煤
Ванкувер	溫哥華
Ливерпүүл	利物浦
Аватар (2009 оны кино)	阿凡达
Бремен	不来梅
Үйл үг	动词
Вүүди Аллен	伍迪·艾伦
Кевин Спейси	凱文·斯貝西
Оршил (2010 оны кино)	全面啟動
Кристофер Нолан	克里斯托弗·诺兰
Шар шувуу	貓頭鷹
Фунт стерлинг	英镑
Камрань олон улсын нисэх онгоцны буудал	金蘭國際機場
Ватт (нэгж)	瓦特
Хус	桦木属
2016 он	2016年
Өвөөлж	戴胜
Вольт (нэгж)	伏特
4-р Далай лам	第四世达赖喇嘛
Хур тунадас	降水
