Africa	非洲
Carrie Fisher	嘉莉·費雪
Comanche Comitatus (Texia)	科曼奇縣 (德克薩斯州)
Crockett Comitatus (Texia)	克羅基特縣 (德克薩斯州)
Dickens Comitatus	狄更斯縣 (德克薩斯州)
Mandal	曼达尔
Vardø	瓦爾德 (挪威)
Kongsberg	孔斯贝格
Røros	勒羅斯
Sandefjord	桑讷菲尤尔
Parlamentum Norvegiae	挪威議會
Moss	莫斯
Hitra	希特拉 (自治區)
Voss (Norvegia)	沃斯
Haugesund	海于格松
Fridericostadium	哈尔登
Horten (Norvegia)	霍尔滕
Arthurus Tatum	阿特·塔图姆
Megapolis (Germania)	梅克伦堡邦
Victor Dyk	维克托·迪克
Canicopolis	基尔肯尼
The Great Dictator	大独裁者
Elverum	埃尔沃吕姆
Cass Comitatus (Texia)	卡斯縣 (德克薩斯州)
Carson Comitatus	卡森縣 (德克薩斯州)
Brewster Comitatus	布魯斯德縣 (德克薩斯州)
Briscoe Comitatus	布里斯科縣 (德克薩斯州)
Brown Comitatus (Texia)	布朗縣 (德克薩斯州)
Comal Comitatus	科馬爾縣 (德克薩斯州)
Loving Comitatus	洛文縣
Orange Comitatus (Texia)	橙縣 (德克薩斯州)
Boreas	玻瑞阿斯
Childebertus III	希尔德贝尔特三世
Rosa Anna Arquette	羅珊娜·艾奎特
Caesar	凯撒 (消歧义)
Chilpericus II	希尔佩里克二世
Adamus Bremensis	不来梅的亚当
Dagobertus III	达格贝尔特三世
Denton Comitatus	登頓縣 (德克薩斯州)
Hardin Comitatus (Texia)	哈丁縣 (德克薩斯州)
Gregg Comitatus	格雷格縣 (德克薩斯州)
Crosby Comitatus	克羅斯比縣 (德克薩斯州)
Beaver Comitatus (Uta)	比佛縣 (猶他州)
Delta Comitatus (Texia)	德爾塔縣 (德克薩斯州)
Glasscock Comitatus	格拉斯卡克縣 (德克薩斯州)
Zapata Comitatus	薩帕塔縣 (德克薩斯州)
Dallam Comitatus	達拉姆縣 (德克薩斯州)
Hamilton Comitatus (Texia)	漢密爾頓縣 (德克薩斯州)
Gray Comitatus (Texia)	格雷縣 (德克薩斯州)
Hardeman Comitatus (Texia)	哈德曼縣 (德克薩斯州)
Claudius Pizarro	克劳迪奥·皮萨罗
Angelus Charisteas	安杰洛斯·查理斯特亚斯
Ephori	五长官
Albany Comitatus (Vyomina)	奧爾巴尼縣 (懷俄明州)
Crane Comitatus	克倫縣 (德克薩斯州)
Donley Comitatus	唐利县 (德克萨斯州)
Grayson Comitatus (Texia)	格雷森縣 (德克薩斯州)
Ricardus M. Johnson	理查德·门特·约翰逊
Askim	阿希姆 (挪威)
Hobøl	霍伯爾
Kristiansund	克里斯蒂安松
Berlevåg	貝勒沃格
Odda	奧達
Kongsvinger	孔斯温厄尔
Crook Comitatus (Vyomina)	克魯克縣 (懷俄明州)
Calhoun Comitatus (Mississippia)	卡爾霍恩縣 (密西西比州)
Bureau Comitatus	比羅縣 (伊利諾伊州)
Bond Comitatus	邦德縣 (伊利諾伊州)
Gulielmus Busch	威廉·布施
Renatus Dulbecco	罗纳托·杜尔贝科
Thomas Steitz	托马斯·施泰茨
Petrus Diamond	彼得·戴蒙德
Aegates insulae	埃加迪群岛
Christophorus Pissarides	克里斯托弗·皮萨里德斯
Sergius Haroche	塞尔日·阿罗什
Cornelius Nepos	康涅利乌斯·尼波斯
Albius Tibullus	提布鲁斯
Ruina	廢墟
Thelonius Monk	塞隆尼斯·孟克
Limestone Comitatus (Texia)	石灰岩縣 (德克薩斯州)
Cottle Comitatus	科特爾縣 (德克薩斯州)
DuPage Comitatus	杜佩奇縣 (伊利諾伊州)
Clay Comitatus (Texia)	克莱县 (得克萨斯州)
Cooke Comitatus	庫克縣 (德克薩斯州)
Box Elder Comitatus	博克斯埃爾德縣
Hansford Comitatus	漢斯福德縣 (德克薩斯州)
Humboldt Comitatus (California)	洪堡縣 (加利福尼亞州)
San Benito Comitatus	聖貝尼托縣
Madera Comitatus	馬德拉縣
Baker Comitatus (Oregonia)	貝克縣 (俄勒岡州)
Inyo Comitatus	因约县 (加利福尼亚州)
Nevada Comitatus (California)	內華達縣 (加利福尼亞州)
Tulare Comitatus	图莱里县
Merced Comitatus	默塞德縣 (加利福尼亞州)
Modoc Comitatus	莫多克县 (加利福尼亚州)
Tehama Comitatus	蒂黑马县
Yolo Comitatus	優洛縣 (加利福尼亞州)
Dale Mortensen	戴尔·莫滕森
Christophorus A. Sims	克里斯托弗·西姆斯
Realgar	雄黄
Childress Comitatus	柴爾德里斯縣 (德克薩斯州)
Boone Comitatus (Illinoesia)	布恩縣 (伊利諾伊州)
Brown Comitatus (Illinoesia)	布朗縣 (伊利諾伊州)
The Blues Brothers	福祿雙霸天
Teutoburgiensis saltus	条顿堡森林
Cochran Comitatus	科克倫縣 (德克薩斯州)
Coryell Comitatus	科里爾縣 (德克薩斯州)
Cache Comitatus	卡什縣
Concho Comitatus	孔喬縣 (德克薩斯州)
Deaf Smith Comitatus	戴夫史密斯縣 (德克薩斯州)
Ector Comitatus	厄克托縣 (德克薩斯州)
Coleman Comitatus	科爾曼縣 (德克薩斯州)
Castro Comitatus	卡斯特羅縣 (德克薩斯州)
Gaines Comitatus	蓋恩斯縣 (德克薩斯州)
Hasvik	哈什維克
Chippewa Comitatus (Minnesota)	契皮瓦縣 (明尼蘇達州)
Benton Comitatus (Minnesota)	本頓縣 (明尼蘇達州)
Dagobertus I	達格貝爾特一世
Franciscus Hadrianus Boieldieu	弗朗索瓦-阿德里安·布瓦尔迪厄
138 Tolosa	图卢兹星
149 Medusa	蛇髮妖星
73 Klytia	芥神星
81 Terpsichore	司舞星
181 Eucharis	诀女星
83 Beatrix	欣女星
230 Athamantis	坠女星
51 Nemausa	禽神星
231 Vindobona	文多波纳星
88 Thisbe	尽女星
Magister equitum	騎士統領
Columbus Circle	哥倫布圓環
Adams Comitatus (Ohium)	亞當斯縣 (俄亥俄州)
Fisher Comitatus	費希爾縣 (得克薩斯州)
Douglas Comitatus (Minnesota)	道格拉斯縣 (明尼蘇達州)
Aitkin Comitatus	艾特金縣 (明尼蘇達州)
Lovitium	沃維奇
Madison Square	麦迪逊广场
163 Erigone	庶女星
80 Sappho	赋神星
44 Nysa	侍神星
Gulielmus Franciscus Giauque	威廉·吉奥克
Eduardus C. Kendall	爱德华·卡尔文·肯德尔
Iulius Axelrod	朱利叶斯·阿克塞尔罗德
Ellis Comitatus (Texia)	埃利斯縣 (德克薩斯州)
Champaign Comitatus (Illinoesia)	尚佩恩縣 (伊利諾伊州)
Basilius Surikov	瓦西里·伊万诺维奇·苏里科夫
328 Gudrun	小行星328
180 Garumna	小行星180
673 Edda	小行星673
286 Iclea	小行星286
Hudspeth Comitatus	哈得斯佩斯縣 (德克薩斯州)
Jackson Comitatus (Texia)	傑克遜縣 (德克薩斯州)
Nedre Eiker	下埃伊克爾
Ioannes Pieterszoon Sweelinck	扬·皮泰尔索恩·斯韦林克
Petasus cylindricus	大禮帽
Øvre Eiker	上埃伊克爾
170 Maria	小行星170
Douglas Comitatus (Illinoesia)	道格拉斯縣 (伊利諾伊州)
Llano Comitatus	拉諾縣 (德克薩斯州)
Blue Earth Comitatus	布盧厄斯縣 (明尼蘇達州)
255 Oppavia	小行星255
Gulielmus Paxton	比爾·派斯頓
Hill Comitatus (Texia)	希爾縣 (德克薩斯州)
Shelby Comitatus (Texia)	謝爾比縣 (德克薩斯州)
Zavala Comitatus	札瓦拉縣 (德克薩斯州)
Tarrant Comitatus	塔兰特县
Clay Comitatus (Illinoesia)	克莱县 (伊利诺伊州)
Medina Comitatus (Texia)	梅迪納縣 (德克薩斯州)
Travis Comitatus	特拉維斯縣 (德克薩斯州)
Steinkjer	斯泰恩谢尔
Cory Doctorow	科利·多克托罗
Boa Vista (Caput Viride)	博阿維斯塔島
Kaufman Comitatus	考夫曼縣 (德克薩斯州)
Beltrami Comitatus	貝爾特拉米縣 (明尼蘇達州)
Anoka Comitatus	安諾卡縣 (明尼蘇達州)
Erath Comitatus	伊拉斯縣 (德克薩斯州)
Camden Comitatus (Georgia)	康登縣 (喬治亞州)
Crawford Comitatus (Illinoesia)	克勞福德縣 (伊利諾伊州)
Cass Comitatus (Illinoesia)	卡斯縣 (伊利諾伊州)
Floyd Comitatus (Texia)	弗洛伊德縣 (德克薩斯州)
Clark Comitatus (Illinoesia)	克拉克縣 (伊利諾伊州)
Cumberland Comitatus (Illinoesia)	坎伯蘭縣 (伊利諾伊州)
Clinton Comitatus (Illinoesia)	克林頓縣 (伊利諾伊州)
Effingham Comitatus (Illinoesia)	埃芬漢縣 (伊利諾伊州)
Freestone Comitatus	弗里斯通縣 (德克薩斯州)
Knox Comitatus (Texia)	諾克斯縣 (德克薩斯州)
Jasper Comitatus (Texia)	傑斯帕縣 (德克薩斯州)
Natrona Comitatus	納特羅納縣 (懷俄明州)
Winnebago Comitatus (Illinoesia)	溫納貝戈縣 (伊利諾伊州)
Franklin Comitatus (Texia)	富蘭克林縣 (德克薩斯州)
Campbell Comitatus (Vyomina)	坎貝爾縣 (懷俄明州)
Benton Comitatus (Mississippia)	本頓縣 (密西西比州)
Dawson Comitatus (Texia)	道生縣 (德克薩斯州)
Cottonwood Comitatus	卡頓伍德縣 (明尼蘇達州)
449 Hamburga	小行星449
Anscharius Lafontaine	奥斯卡·拉方丹
506 Marion	小行星506
Santa Clara Comitatus	聖塔克拉拉縣 (加利福尼亞州)
Attalus I	阿塔罗斯一世
Foard Comitatus	福爾德縣 (德克薩斯州)
Fayette Comitatus (Texia)	費耶特縣 (德克薩斯州)
Schleicher Comitatus	施萊謝爾縣 (德克薩斯州)
King Comitatus (Texia)	金县 (得克萨斯州)
Rusk Comitatus (Texia)	臘斯克縣 (德克薩斯州)
Parker Comitatus	帕克縣 (德克薩斯州)
Ringerike	靈厄里克
Gulielmus Lassell	威廉·拉塞尔
Alaricus II (rex Visigothorum)	亚拉里克二世
Regnum Orientalium Saxonum	埃塞克斯王國
Theodoricus I (rex Visigothorum)	狄奥多里克一世
Athalaricus (rex Ostrogothorum)	阿塔拉里克
Brown Comitatus (Minnesota)	布朗縣 (明尼蘇達州)
Harrison Comitatus (Texia)	哈里森縣 (德克薩斯州)
Gulielmus Lipscomb	威廉·利普斯科姆
Tjalling Koopmans	特亚林·科普曼斯
Kent Comitatus (Texia)	肯特县 (得克萨斯州)
Kinney Comitatus	金尼縣 (德克薩斯州)
Radix (linguistica)	词根
Namsos	納姆索斯
Ustiuga	大烏斯秋格
Communitas Taizé	泰澤團體
Punctum criticum	临界点 (热力学)
Ioannes Barry	约翰·巴瑞
Albinea	阿尔比内亚
Rockland Comitatus	羅克蘭縣 (紐約州)
Baniolum	巴尼奥洛因皮亚诺
Baisium	巴伊索
Bibianum (Aemilia-Romania)	比比亚诺
Beruptum	博雷托
Brixellum	布雷谢洛
Busiana	布萨纳
Domus de Bosco	卡德尔博斯科迪索普拉
Campaniola	坎帕尼奥拉埃米利亚
Campicinum	坎佩吉内
Stultus	高飞 (迪士尼角色)
Endothelium	內皮
Canusia (Aemilia-Romania)	卡诺莎
Carpinetum (Aemilia-Romania)	卡尔皮内蒂
Casalis Grandis	卡萨尔格兰德
Casina (Italia)	卡西纳
Castrum Olerianum	卡斯泰拉拉诺
Castrum Novum (Provincia Regiensis)	卡斯泰尔诺沃迪索托
Castrum Novum in Montibus	卡斯泰尔诺沃内蒙蒂
Dallas Comitatus (Texia)	達拉斯縣 (德克薩斯州)
Curviacum	卡夫里亚戈
Culagna	科拉尼亚
Collin Comitatus	科林縣 (德克薩斯州)
Corrigium	科雷焦
Franciscus Sherwood Rowland	弗兰克·舍伍德·罗兰
Fabricum	法布里科
Gataticum	加塔蒂科
Gualterium	瓜尔蒂耶里
Guastalla	瓜斯塔拉
Ligonchium	利贡基奥
Monticulum (Aemilia-Romania)	蒙泰基奥埃米利亚
Nuvellaria	诺韦拉拉
Povilium	波维廖
Quatuor Castella	夸特罗卡斯泰拉
Ramacetum	拉米塞托
Fanum Sancti Georgii ad Rivum	廖萨利切托
Herberia	鲁别拉
Fanum Sancti Martini ad Rivum	圣马尔蒂诺因廖
Castrum Sancti Pauli in Caviliano	圣波洛登扎
Fanum Sanctae Eulaliae (Aemilia-Romania)	圣伊拉廖登扎
Alcorn Comitatus	奧爾康縣 (密西西比州)
Scandianum	斯坎迪亚诺
Clay Comitatus (Mississippia)	克莱县 (密西西比州)
Thoanum	托阿诺
Vectum	韦托
Vezanum (Aemilia-Romania)	克罗斯托洛河畔韦扎诺
Vianum (Aemilia-Romania)	维亚诺
Daggett Comitatus	達蓋特縣
Villa in Montanis	维拉米诺佐
Erie Comitatus (Ohium)	伊利縣 (俄亥俄州)
Wise Comitatus (Texia)	懷斯縣 (德克薩斯州)
Korpiklaani	Korpiklaani
Padengis	加尔达河畔帕登盖
Paternum (Langobardia)	帕德尔诺夫兰恰科尔塔
Paiscum Lovenum	帕伊斯科洛韦诺
Paitonum	帕伊托内
Palatiolum (Langobardia)	帕拉佐洛苏洛廖
Paraticum	帕拉蒂科
Paspardum	帕斯帕尔多
Passiranum	帕西拉诺
Pavonum	帕沃内德尔梅拉
McLennan Comitatus	麦克伦南县 (得克萨斯州)
Pertica Summa	佩尔蒂卡阿尔塔
Mason Comitatus (Texia)	梅森縣 (德克薩斯州)
Howard Comitatus (Texia)	霍華德縣 (德克薩斯州)
Karnes Comitatus	卡恩斯縣 (德克薩斯州)
Pertica Ima	佩尔蒂卡巴萨
Rockwall Comitatus	羅克沃爾縣 (德克薩斯州)
Pessagium	佩扎泽
Planum Camunnorum	皮亚恩卡穆诺
Planum Cognum	皮亚恩科尼奥
McLean Comitatus (Illinoesia)	麥克萊恩縣 (伊利諾伊州)
Pisoneae	皮索涅
Maui Comitatus	茂宜縣
Pollavenum	波拉韦诺
Polponacium	波尔佩纳泽德尔加尔达
Pompeianum	蓬皮亚诺
Cass Comitatus (Minnesota)	卡斯縣 (明尼蘇達州)
Pons Caralli	蓬卡拉莱
Dalegnum	蓬泰迪莱尼奥
Mula	馬爾島
Pons Vicus	蓬泰维科
Paranthropus	傍人
Pons Ollii	蓬托廖
Posolengum	波佐伦戈
Pratum Alboinum	普拉尔博伊诺
Praeseliae	普雷塞列
Galfridus V (comes Andegavensis)	若弗鲁瓦五世 (安茹)
Prestenum	普雷斯蒂内
Tibicen Hamelae	花衣魔笛手
Iura (insula Scotiae)	朱拉島
Kauai Comitatus	考艾县
Goionum	普雷瓦莱
Provalium (Vallis Sabia)	普罗瓦廖瓦尔萨比亚
Provalium (Francia Curta)	普罗瓦廖迪塞奥
St. Louis Comitatus (Minnesota)	聖路易斯縣 (明尼蘇達州)
Pueniagum	加尔达河畔普埃尼亚戈
Becker Comitatus	貝克縣 (明尼蘇達州)
Brown Comitatus (Ohium)	布朗縣 (俄亥俄州)
Fayette Comitatus (Illinoesia)	費耶特縣 (伊利諾伊州)
Quinzanum	昆扎诺多廖
Fannin Comitatus (Texia)	範寧縣 (德克薩斯州)
Remetellum	雷梅德洛
Reciatum	雷扎托
Rocca Franca	罗卡夫兰卡
DeKalb Comitatus (Illinoesia)	迪卡尔布县 (伊利诺伊州)
Hale Comitatus (Texia)	黑尔县 (得克萨斯州)
Rodengum-Saianum	罗登戈-萨伊阿诺
Roncadellae	龙卡德莱
Calhoun Comitatus (Illinoesia)	卡爾霍恩縣 (伊利諾伊州)
Rovatum	罗瓦托
Volcianum	罗埃沃尔恰诺
Collingsworth Comitatus	科靈斯沃思縣
Rudianum	鲁迪亚诺
Sabium	萨比奥基耶塞
Garza Comitatus	加扎縣 (德克薩斯州)
DeWitt Comitatus (Illinoesia)	德威特縣 (伊利諾伊州)
Christian Comitatus (Illinoesia)	克里斯蒂安縣 (伊利諾伊州)
Dakota Comitatus (Minnesota)	達科他縣 (明尼蘇達州)
Salis Maresini	萨莱马拉西诺
Salodium	薩羅 (義大利)
Fanum Sancti Felicis (Langobardia)	圣费利切德尔贝纳科
Fanum Sancti Gervasii (Provincia Brixiana)	圣杰尔瓦肖布雷夏诺
Gilchrist Comitatus	吉爾克里斯特縣 (佛羅里達州)
Fanum Sancti Pauli (Langobardia)	圣保洛
Hunt Comitatus	亨特縣 (德克薩斯州)
Fanum Sancti Zenonis (Provincia Brixiana)	圣泽诺纳维廖
Saretia	萨雷佐
Saviorum	萨维奥雷德拉达梅洛
San Jacinto Comitatus	聖哈辛托縣 (德克薩斯州)
Sellerum	塞莱罗
Jim Wells Comitatus	吉姆韋爾斯縣 (德克薩斯州)
Scurry Comitatus	斯库瑞县 (得克萨斯州)
Wheeler Comitatus (Texia)	惠勒縣 (德克薩斯州)
Upshur Comitatus (Texia)	厄普舍縣 (德克薩斯州)
Lubbock Comitatus	拉伯克縣 (德克薩斯州)
Bellarea-Hygia Maris	贝拉里亚-伊贾马里纳
Castrum Illicis	卡斯泰尔德尔奇
Catholica (Italia)	卡托利卡
Corlianum	科里亚诺
Gemmanum	杰马诺
Maiolum	马伊奥洛
Misianum Hadriaticum	米萨诺阿德里亚蒂科
Menard Comitatus (Texia)	默納德縣 (德克薩斯州)
Mons Damarum	蒙达伊诺
Castrum Montis Colombi	蒙特科隆博
Clay Comitatus (Minnesota)	克莱县 (明尼苏达州)
Mons Floris	蒙特菲奥雷孔卡
Marescalcus	元帅
Somervell Comitatus	索莫威爾縣 (德克薩斯州)
Reagan Comitatus	里根縣 (德克薩斯州)
Scotia Historica	蘇格蘭文物局
Mons Gredulfus	蒙特格里多尔福
Mons Scutulus	蒙特斯库多
Morcianum (Aemilia-Romania)	莫尔恰诺-迪罗马涅
Ben Hill Comitatus	本希尔县 (佐治亚州)
Nova Feretrana	诺瓦费尔特里亚
Pinna Billorum	彭纳比利
Podium Hibernorum	波焦贝尔尼
Vicus Popilius	里乔内
Emanuel (comitatus)	伊曼紐爾縣 (喬治亞州)
Fanum Sancti Lauditii	萨卢代乔
Castrum Sancti Clementis	圣克莱门泰
Garons	加龙
Coweta (comitatus)	考维塔县 (佐治亚州)
Castrum Mariniani	圣乔瓦尼-因马里尼亚诺
Civitas Sancti Leonis	圣莱奥
Fanum Sanctae Agathae Feretranae	圣阿加塔费尔特里亚
Civitas Sancti Archangeli Romandiolae	圣阿尔坎杰洛-迪罗马涅
Thalamellum	塔拉梅洛
Turriana	托里亚纳
Veruculum	韦鲁基奥
Taygete (Atlantis)	塔宇革忒
Serlis	塞尔莱
Sirmio	西尔苗内
Soianum	索亚诺德拉戈
Sonicum	索尼科
Sulzanum	苏尔扎诺
Andrias japonicus	日本大鲵
Clarke Comitatus (Georgia)	雅典-克拉克縣
Hemphill Comitatus	漢普希爾縣 (德克薩斯州)
Tabernulae (Langobardia)	梅拉河畔塔韦尔诺莱
Themus	泰穆
Randall Comitatus	蘭德爾縣 (德克薩斯州)
Tignalis	蒂尼亚莱
Turbulum Casalium	托尔博莱卡萨利亚
Civitas insularis	島嶼國家
Tuscolanum-Madernum	托斯科拉诺-马德尔诺
Lucas Comitatus (Ohium)	盧卡斯縣 (俄亥俄州)
Hopkins Comitatus (Texia)	霍普金斯縣 (德克薩斯州)
Travalliatum	特拉瓦利亚托
Marion Comitatus (Texia)	馬里昂縣 (德克薩斯州)
Tremosinum	特雷莫西内
Trenzanum	特伦扎诺
Trevisium	特雷维索布雷夏诺
Coles Comitatus	科爾斯縣 (伊利諾伊州)
Uragum	乌拉戈多廖
Valles (Italia)	瓦廖泰尔梅
McCulloch Comitatus	麥卡洛克縣 (德克薩斯州)
Vallis Vestini (municipium)	瓦尔韦斯蒂诺
Verola	韦罗拉诺瓦
Verola Vetus	韦罗拉韦基亚
Pax Samarobrivensis	亞眠和約
Vestonum	韦斯托内
Iustus inter gentes	國際義人
Villa Carsina	维拉卡尔奇纳
Villa Clara	维拉基亚拉
Villa Nova (Provincia Brixiana)	克利西河畔维拉诺瓦
Vionum	维奥内
Douglas Comitatus (Kansia)	道格拉斯縣 (堪薩斯州)
Visanum	维萨诺
Boarnum	沃巴尔诺
Sanctus Antonius (Caput Viride)	圣安唐岛
Zonum (Provincia Brixiana)	佐内
645 Agrippina	小行星645
712 Boliviana	小行星712
792 Metcalfia	小行星792
444 Gyptis	小行星444
662 Newtonia	小行星662
306 Unitas	小行星306
886 Washingtonia	小行星886
653 Berenike	小行星653
971 Alsatia	小行星971
747 Winchester	小行星747
325 Heidelberga	小行星325
Mitchell Comitatus (Texia)	米切爾縣 (德克薩斯州)
Amite Comitatus	阿米特縣 (密西西比州)
Edwards Comitatus (Illinoesia)	愛德華茲縣 (伊利諾伊州)
Carroll Comitatus (Mississippia)	卡洛爾縣 (密西西比州)
Kendall Comitatus (Illinoesia)	肯德爾縣 (伊利諾伊州)
Oldham Comitatus (Texia)	奧爾德姆縣 (德克薩斯州)
Reeves Comitatus	里夫斯縣
Oberharmersbach	上哈尔默斯巴赫
Newton Comitatus (Texia)	牛頓縣 (德克薩斯州)
Bonaparte (familia)	波拿巴皇朝
Lipscomb Comitatus	利普斯科姆縣 (德克薩斯州)
Navarro Comitatus	納瓦羅縣 (德克薩斯州)
Ammerzwiller	阿梅尔兹维莱
Linguae Italoromanicae	意大利-西罗曼语支
Yoakum Comitatus	約克姆縣 (德克薩斯州)
Runnels Comitatus	兰纳尔斯县 (德克萨斯州)
Wood Comitatus (Texia)	伍德縣 (德克薩斯州)
Picaria	佩奇 (科索沃)
Jack Comitatus	傑克縣 (德克薩斯州)
Williamson Comitatus (Texia)	威廉森縣 (德克薩斯州)
Rains Comitatus	雷恩斯縣 (德克薩斯州)
Hartley Comitatus	哈特利縣 (德克薩斯州)
Saint-Martial-de-Valette	圣马尔蒂阿德瓦莱特 (多尔多涅省)
Haskell Comitatus (Texia)	哈斯克爾縣 (德克薩斯州)
Lamb Comitatus	蘭姆縣 (德克薩斯州)
Henderson Comitatus (Texia)	亨德森縣 (德克薩斯州)
Tishomingo Comitatus	蒂肖明戈縣 (密西西比州)
Washakie Comitatus	華謝基縣
Brønnøy	布倫訥于
Pope Comitatus (Illinoesia)	波普縣 (伊利諾伊州)
Swisher Comitatus	斯威舍县 (德克萨斯州)
Banteln	班特尔恩
Alcona Comitatus	阿爾科納縣
Colquitt Comitatus	科尔奎特县 (佐治亚州)
Dodge Comitatus (Minnesota)	道奇縣 (明尼蘇達州)
Peoria Comitatus	皮奥里亚县
Titus Comitatus	泰特斯縣 (德克薩斯州)
Madison Comitatus (Texia)	麥迪遜縣 (德克薩斯州)
San Patricio Comitatus	聖帕特里西奧縣 (德克薩斯州)
Henry Comitatus (Ohium)	亨利县 (俄亥俄州)
Franklin Comitatus (Ohium)	富兰克林县 (俄亥俄州)
Big Stone Comitatus	大石湖縣 (明尼蘇達州)
Carver Comitatus	卡弗縣 (明尼蘇達州)
Potter Comitatus (Texia)	波特縣 (德克薩斯州)
Lamar Comitatus (Texia)	拉马尔县 (得克萨斯州)
Crow Wing Comitatus	克羅溫縣 (明尼蘇達州)
Carlton Comitatus	卡爾頓縣
Polk Comitatus (Texia)	波爾克縣 (德克薩斯州)
Tom Green Comitatus	湯格林縣 (德克薩斯州)
Terpander	特尔潘德
Vågå	沃戈
Ius digitale	數位權利
Ringsaker	靈薩克
Fitjar	菲恰爾
Ballangen	巴朗恩
Ål	奧爾 (挪威)
Bømlo	伯姆盧
Førde	弗勒
Thomas Neuwirth	孔奇塔·武斯特
Oppdal	奧普達爾
Rømskog	勒姆斯庫格
Jondal	永達爾
Nesseby	內瑟比
Lindås	林多斯
Collorec	科洛雷克
Måsøy	馬瑟于
Andøy	安德于
Høyanger	赫揚厄爾
Gamvik	加姆維克
Eidsberg	埃德斯貝格
Manfred Nowak	曼弗瑞德·諾瓦克
Universitas Casanensis	喀山国立大学
Wayne Comitatus (Illinoesia)	韋恩縣 (伊利諾伊州)
Van Zandt Comitatus	范贊德縣 (德克薩斯州)
Johnson Comitatus (Texia)	約翰遜縣 (德克薩斯州)
Throckmorton Comitatus	斯羅克莫頓縣 (德克薩斯州)
Terry Comitatus	特里縣 (得克薩斯州)
Clinton Comitatus (Ohium)	克林頓縣 (俄亥俄州)
Stonewall Comitatus	斯通沃爾縣 (德克薩斯州)
Lampasas Comitatus	蘭帕瑟斯縣 (德克薩斯州)
Upton Comitatus	阿普頓縣 (德克薩斯州)
Presidio Comitatus	普雷西迪奧縣 (德克薩斯州)
Plouray	普卢赖 (莫尔比昂省)
Maverick Comitatus	馬弗里克縣 (德克薩斯州)
Mézilhac	梅齐亚克 (阿尔代什省)
Nolan Comitatus	諾蘭縣
Live Oak Comitatus	來弗歐克縣
Callicrates	卡利特瑞特
Hot Springs Comitatus	溫泉縣 (懷俄明州)
Jefferson Comitatus (Ohium)	傑佛遜縣 (俄亥俄州)
Violeta Barrios de Chamorro	奥莱塔·查莫罗
Antipater Sidonius	安提帕特 (西顿)
Ward Comitatus (Texia)	沃德縣 (德克薩斯州)
Lynn Comitatus	林恩縣 (德克薩斯州)
Wilbarger Comitatus	威尔巴格县 (德克萨斯州)
Crisis pecuniaria	金融危机
Sherman Comitatus (Texia)	謝爾曼縣 (德克薩斯州)
Roberts Comitatus (Texia)	羅伯茨縣 (德克薩斯州)
Fitou	菲图
Pecos Comitatus	貝可斯縣
Winkler Comitatus	溫克勒縣 (德克薩斯州)
Willacy Comitatus	威拉西县 (德克萨斯州)
Stephens Comitatus (Texia)	斯蒂芬斯縣 (德克薩斯州)
Shackelford Comitatus	沙克爾福德縣 (德克薩斯州)
675 Ludmilla	小行星675
422 Berolina	小行星422
655 Briseis	小行星655
676 Melitta	小行星676
736 Harvard	小行星736
696 Leonora	小行星696
600 Musa	小行星600
661 Cloelia	小行星661
Regaldium	里戈 (滨海阿尔卑斯省)
581 Tauntonia	小行星581
Ludi Pacifici	太平洋運動會
660 Crescentia	小行星660
755 Quintilla	小行星755
Ahmedus I (sultanus Ottomanicus)	艾哈迈德一世
690 Wratislavia	小行星690
492 Gismonda	小行星492
Erie Comitatus (Novum Eboracum)	伊利縣 (紐約州)
Otsego Comitatus (Novum Eboracum)	奧齊戈縣 (紐約州)
Clinton Comitatus (Novum Eboracum)	克林頓縣 (紐約州)
Onondaga Comitatus	奧農達加縣 (紐約州)
Cattaraugus Comitatus	卡特羅格斯縣 (紐約州)
Hamilton Comitatus (Novum Eboracum)	漢密爾頓縣 (紐約州)
Niagara Comitatus	尼亞加拉縣 (紐約州)
Essex Comitatus (Novum Eboracum)	艾塞克斯縣 (紐約州)
Genesee Comitatus (Novum Eboracum)	傑納西縣 (紐約州)
Ontario Comitatus	安大略縣 (紐約州)
Insula Iuventutis	青年岛
Oneida Comitatus (Novum Eboracum)	奧奈達縣 (紐約州)
Granma (provincia)	格拉玛省
Chautauqua Comitatus (Novum Eboracum)	學托擴縣 (紐約州)
Lewis Comitatus (Novum Eboracum)	劉易斯縣 (紐約州)
Institutum Iuris Internationalis	國際法研究院
Monroe Comitatus (Novum Eboracum)	門羅縣 (紐約州)
Ploca	普洛切
Orleans Comitatus (Novum Eboracum)	奧爾良縣 (紐約州)
Dutchess Comitatus	達奇斯縣 (紐約州)
Madison Comitatus (Novum Eboracum)	麥迪遜縣 (紐約州)
Cayuga Comitatus	卡尤加縣 (紐約州)
Columbia Comitatus (Novum Eboracum)	哥倫比亞縣 (紐約州)
Greene Comitatus (Novum Eboracum)	格林縣 (紐約州)
Universitas Hiroshimaensis	廣島大學
Jefferson Comitatus (Novum Eboracum)	杰斐逊县 (纽约州)
Amin Maalouf	阿敏·馬盧夫
Franklin Comitatus (Novum Eboracum)	富蘭克林縣 (紐約州)
Fulton Comitatus (Novum Eboracum)	富爾頓縣 (紐約州)
Putnam Comitatus (Novum Eboracum)	普特南縣 (紐約州)
Dodge (comitatus Georgiae)	道奇縣 (喬治亞州)
