ܐܦܪܝܩܐ	非洲
ܟܪܒܠܐܐ (ܗܘܦܪܟܝܐ)	卡爾巴拉省
ܦܪܨܘܦܐ	個人
ܕܝ ܩܐܪ (ܗܘܦܪܟܝܐ)	濟加爾省
ܐܢܕܪܢܝܩ ܡܐܪܓܐܪܝܐܢ	安德拉尼克·马尔加良
ܡܡܠܠܘܬ ܐܠܗܘܬܐ	基督教神學
ܓܘܙܐ	胡桃科
ܕܝܐܠܐ (ܗܘܦܪܟܝܐ)	迪亞拉省
ܟܒܒ	哈巴布
ܩܪܫܬܐ	天花板
ܚܨܪܐ	小指
ܐܡܬܐ (ܝܘܠܦܢ ܨܪܘܝܘܬܐ)	前臂
ܬܐܘܡܐ	托马斯
ܚܡܬ (ܗܘܦܪܟܝܐ)	哈馬省
ܟܢܘܢܬܐ ܕܐܝܕܐ	腕骨
ܐܝܣܪܐܝܠ (ܬܘܚܡܐ ܐܚܪܢܐ)	以色列 (消歧義)
ܡܠܐܟܐ	天使
ܫܢܬܐ ܦܫܝܛܬܐ	平年
ܡܣܘܪܩܐ ܕܐܝܕܐ	掌骨
ܡܠܟܘܬܐ ܕܒܝܬ ܥܣܪ ܥܝܢܐ	奥斯若恩
ܕܪܥܐ (ܡܕܝܢܬܐ)	德拉
ܨܕܥܐ	顳
ܣܘܣܝܐ ܐܝܣܠܢܕܝܐ	冰島馬
ܩܠܐ	音符
ܛܘܘܝܐ	炙烤
ܓܪܡܐ	骨骼
ܒܪܝܐܢܝ	印度香饭
ܠܒܠܒܬܐ	悬雍垂
و	Waw
ܒܪܬܐ (ܒܝܬܝܘܬܐ)	女兒
ܗܪܗܪܐ	海市蜃楼
ܚܣܟܗ (ܡܕܝܢܬܐ)	哈塞克
ܛܐܪܩ ܥܙܝܙ	塔里克·阿齐兹
ܡܣܘܪܩܐ ܕܪܓܠܐ	跖骨
ܥܪܩ	中东亚力酒
ܛܘܪ ܠܒܢܢ	黎巴嫩山
ܐܙܟ	伊迪爾
ܥܡܐ ܐܬܘܪܝܐ/ܣܘܪܝܝܐ	亚述人
ܛܘܪܐ ܕܣܝܢܝ	西奈山
ܦܘܪܬܥܢܐ	跳蚤
ܫܡܣܕܝܢ	謝姆丁利
ܟܪܘܙܘܬܐ ܕܡܬܝ	馬太福音
ܐܓܪܬܐ ܕܠܘܬ ܐܦܣܝܐ	以弗所書
10000 (ܡܢܝܢܐ)	10000
ܒܢܦܫܐ	雪青色
ܢܨܪܬ	拿撒勒
ܟܬܒܐ ܕܡܘܪܡܘܢ	摩爾門經
ܒܫܐܪܐ ܦܛܪܘܣ ܐܠܪܐܥܝ	貝沙拉·布特羅斯·拉伊
ܥܡܢܘܐܝܠ ܬܠܝܬܝܐ ܕܠܝ	埃馬努埃爾三世·德利
ܥܡܘܕܐ ܦܩܪܝܐ	脊椎
ܒܝܬ ܫܥܝܐ	體育場
ܓܘܕ ܫܪܠܘܛ	狂野夏洛特
ܒܪ ܨܘܪܐ	衣领
ܚܣܚܘܣܐ	软骨
ܐܝܣܛܢܒܘܠ (ܗܘܦܪܟܝܐ)	伊斯坦堡省
ܝܘܢܝܐ	希臘人
ܡܪܝ ܕܢܚܐ ܪܒܝܥܝܐ	登哈四世
ܬܐܓܘܪܬܐ	贸易
ܫܝܪܢܐܟ (ܗܘܦܪܟܝܐ)	舍尔纳克省
ܟܗܢܘܬܐ	聖秩聖事
ܚܒܘܪ	哈布爾河
ܗܕܡܐ ܓܘܝܐ	器官
ܚܡܬܐ (ܒܝܬܝܘܬܐ)	岳母
ܐܘܪܘܦܐ	欧罗巴 (消歧义)
ܡܕܝܕ	米迪亞特
ܥܕܬܐ ܣܘܪܝܝܬܐ ܩܬܘܠܝܩܝܬܐ	敘利亞禮天主教會
ܐܘܣܛܪܠܝܐ	澳大利亚 (消歧义)
ܡܦܩܬܐ ܦܫܝܛܬܐ	別西大譯本
ܐܪܚܘܬܐ	款待
ܫܪܓܐ ܕܢܦܛܐ	油灯
ܚܘܐ	夏娃
ܗܘܦܪܟܝܣ ܕܥܝܪܐܩ	伊拉克行政區劃
ܚܬܢܐ (ܒܝܬܝܘܬܐ)	新郎
ܒܝܬ ܟܬܒܐ ܕܐܫܘܪ ܒܢܐܦܠ	亞述巴尼拔圖書館
ܒܕܘܩܐ	童军
ܥܘܕܪܢܐ:ܚܒܝܫܬ̈ܐ	Help:目录
ܓܦܬܐ	攀緣植物
ܡܝܟܐܝܠ	迈克尔
ܐܝܓܢܐܛܝܘܣ ܙܟܝ ܩܕܡܝܐ ܥܝܘܐܨ	依納爵·扎卡一世·伊瓦斯
ܐܣܛܘܡܟܐ	胃
ܚܡܐ (ܒܝܬܝܘܬܐ)	岳父
ܓܢܬܐ	庭園
ܒܪܐ (ܐܠܗܐ)	聖子
ܐܠܩܘܫ	亞勒辜須
ܘܝܩܝܦܕܝܐ:ܐܝܙܓܕܘܬܐ	Wikipedia:大使館
ܫܠܝܬܐ	胎盤
ܒܝܬ ܛܘܣܐ	機場
ܒܝܬ ܫܡܪܝܐ	撒馬利亞
ܐܓܢܣ ܡܘ	杨诗曼
ܣܕܪܐ:ܓܪܡܢ	Category:德国
ܣܕܪܐ:ܐܝܛܠܝܐ	Category:意大利
ܣܕܪܐ:ܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Category:美国
ܣܕܪܐ:ܪܘܣܝܐ	Category:俄罗斯
ܣܕܪܐ:ܩܢܕܐ	Category:加拿大
ܣܕܪܐ:ܐܝܣܪܐܝܠ	Category:以色列
ܣܕܪܐ:ܛܘܪܩܝܐ	Category:土耳其
ܣܕܪܐ:ܡܨܪܝܢ	Category:埃及
ܣܕܪܐ:ܐܝܪܐܢ	Category:伊朗
ܥܐܕܐ	假日
ܣܕܪܐ:ܥܝܪܐܩ	Category:伊拉克
ܣܕܪܐ:ܗܘܠܢܕܐ	Category:荷兰
ܣܕܪܐ:ܦܘܠܢܕ	Category:波蘭
ܣܕܪܐ:ܛܝܪܐ	Category:鸟类
ܣܕܪܐ:ܝܥܝܬܐ	Category:植物
ܣܕܪܐ:ܬܘܕܝܬܐ	Category:宗教
ܣܕܪܐ:ܝܕܥܬܐ	Category:科学
ܩܘܠ ܬܘܪܗ	科尔托拉
ܓܪܫܘܢܝ	加许尼文
ܨܘܒܐ	努賽賓
ܕܪܥܐ (ܗܘܦܪܟܝܐ)	德拉省
ܣܕܪܐ ܕܦܛܪܝܪܟܐ ܕܥܕܬܐ ܕܡܕܢܚܐ	東方亞述教會牧首列表
ܩܠܒܐ:Box-footer	Template:Box-footer
ܡܪܝܡ (ܚܬܗ ܕܡܘܫܐ)	米利暗
ܣܕܪܐ:ܬܘܚܡܐ ܐܚܪܢܐ	Category:消歧义
ܣܕܪܐ:ܡܫܝܚܝܘܬܐ	Category:基督教
ܣܕܪܐ:ܐܣܠܐܡ	Category:伊斯兰教
ܣܕܪܐ:ܝܗܘܕܝܘܬܐ	Category:犹太教
ܙܚܘܪܝܬܐ (ܓܘܢܐ)	猩紅色
ܐܢܩܪܐ (ܗܘܦܪܟܝܐ)	安卡拉省
ܐܝܪܠܢܕ	愛爾蘭 (消歧義)
ܝܘܢܢ	約拿
ܐܨܪܐ	调味料
ܕܝܪܝܟ	馬利基耶
ܫܘܫܡܬܐ	芝麻
ܣܕܪܐ:ܘܝܩܝܦܕܝܐ	Category:分類
ܣܕܪܐ:ܝܒܫܬܐ	Category:大洲
ܝܙܦܬܐ	债务
ܦܨܝܕܐ	池塘
ܐܪܓܘܢܐ	紫色
ܢܘܪܢܝܐ	棱锥
ܘܝܩܝܦܕܝܐ:HotCat	Wikipedia:维基百科工具/HotCat
ܒܛܐ	鸭
ܗܝܟܠܐ ܕܫܠܝܡܘܢ	耶路撒冷聖殿
ܩܠܒܐ:ܓܕܫܐ ܗܫܝܐ	Template:Itn
ܣܕܪܐ:ܡܟܬܒܢܘܬܐ ܕܐܬܪܘܬܐ	Category:国家
ܘܝܩܝܦܕܝܐ:ܡܕܒܪܢܐ	Wikipedia:管理员
ܣܕܪܐ:ܫܕܬܐ	Category:職業
ܘܝܩܝܦܕܝܐ:ܒܘܬ̈ܐ	Wikipedia:机器人
ܣܕܪܐ:ܙܒܢܐ	Category:时间
ܣܕܪܐ:ܙܘܙܐ	Category:货币
ܣܕܪܐ:ܝܘܠܦܢ ܨܪܘܝܘܬܐ	Category:解剖学
ܣܕܪܐ:ܐܣܝܘܬܐ	Category:医学
ܡܨܪܝܢ	埃及
ܩܠܒܐ:Bot	Template:Bot
ܩܢܕܐ	加拿大
ܣܕܪܐ:ܝܘܢ	Category:希腊
ܣܕܪܐ:ܣܘܝܕ	Category:瑞典
ܩܠܒܐ:ܐܫܛܪܘܬܐ	Template:Documentation
ܣܕܪܐ:User languages	Category:用户语言
ܦܘܠܚܢܐ	企业
ܩܠܒܐ:Softredirect	Template:軟重定向
ܩܠܒܐ:Delete	Template:Delete
ܡܓܕܠܐ (ܩܪܝܬܐ)	马格达拉
ܣܕܪܐ:ܛܟܢܘܠܘܓܝܐ	Category:技术
ܣܕܪܐ:ܠܫܢܐ	Category:语言
ܣܕܪܐ:ܩܢܘܢܐ ܕܠܥܙܐ	Category:语法
ܘܝܩܝܦܕܝܐ:General disclaimer	Wikipedia:免责声明
ܣܕܪܐ:Noindexed pages	Category:不可索引页面
ܘܝܩܝܦܕܝܐ:ܕܘܒܪܐ	Wikipedia:格式手册
ܩܠܒܐ:Navbox	Template:Navbox
ܐܝܓܢܐܛܝܘܣ ܐܦܪܝܡ ܬܪܝܢܐ	依納爵·阿弗雷姆二世·卡里姆
ܣܕܪܐ:ܩܠܒܐ ܐܬܘܬܐ ܕܐܝܣܘ	Category:旗帜模板
ܩܠܒܐ:ܡܦܐܬܐ ܩܠܒܐ	Template:Navbar
ܩܠܒܐ:Clear	Template:Clear
ܘܝܩܝܦܕܝܐ:ܡܟܬܒܘܬܐ ܕܡܓܠܐ ܠܟܠ ܘܝܩܝܦܕܝܐ	Wikipedia:基礎條目
ܣܕܪܐ:ܐܠܝܩܛܪܘܢܝܘܬܐ	Category:電子學
ܣܕܪܐ:ܝܪܚܐ ܕܫܢܬܐ	Category:月份
ܩܠܒܐ:Babel	Template:Babel
ܩܠܒܐ:Commons	Template:Commons
ܩܠܒܐ:Reflist	Template:Reflist
ܩܠܒܐ:User ar-1	Template:User ar-1
ܩܠܒܐ:User az	Template:User az
ܩܠܒܐ:See also	Template:See also
ܩܠܒܐ:User de	Template:User de
ܩܠܒܐ:User es	Template:User es
ܩܠܒܐ:User en-3	Template:User en-3
ܩܠܒܐ:User en-1	Template:User en-1
ܩܠܒܐ:User en-2	Template:User en-2
ܩܠܒܐ:User en-4	Template:User en-4
ܩܠܒܐ:User en-0	Template:User en-0
ܩܠܒܐ:User en	Template:User en
ܩܠܒܐ:User fa	Template:User fa
ܩܠܒܐ:User fr-1	Template:User fr-1
ܩܠܒܐ:User he-2	Template:User he-2
ܩܠܒܐ:User he-1	Template:User he-1
ܩܠܒܐ:User sk	Template:User sk
ܩܠܒܐ:User tr	Template:User tr
ܩܠܒܐ:User ja	Template:User ja
ܩܠܒܐ:User fr	Template:User fr
ܩܠܒܐ:User he	Template:User he
ܣܕܪܐ:ܐܣܝܐ	Category:亚洲
ܣܕܪܐ:ܕܪܐ ܕܥܣܪܝܢ ܘܚܕ	Category:21世纪
ܩܠܒܐ:Mod	Template:Mod
ܩܠܒܐ:User sv	Template:User sv
ܩܠܒܐ:Infobox language/codelist	Template:SIL
ܩܠܒܐ:User it	Template:User it
ܣܕܪܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Category:星期中的日子
ܣܕܪܐ:ܐܨܪܐ	Category:調味料
ܩܠܒܐ:ܝܗܘܝܬܐ Peru	Template:Country data Peru
ܩܠܒܐ:ܝܗܘܝܬܐ Paraguay	Template:Country data Paraguay
ܩܠܒܐ:Edit	Template:Edit
ܩܠܒܐ:ܝܗܘܝܬܐ French Guiana	Template:Country data Guyana
ܩܠܒܐ:ܝܗܘܝܬܐ Argentina	Template:Country data Argentina
ܩܠܒܐ:Navbox suite	Template:Navbox suite
ܩܠܒܐ:Category other	Template:Category other
ܩܠܒܐ:ܡܟܬܒܢܘܬܐ ܕܝܦܬܐ	Template:Collapsible list
ܩܠܒܐ:Sidebar	Template:Sidebar
ܩܠܒܐ:Ambox	Template:Ambox
ܩܠܒܐ:Navigation templates	Template:Navigational templates
ܩܠܒܐ:ܐܬܪܐ	Template:國家基礎資訊
ܩܠܒܐ:/box-header	Template:Box-header
ܣܕܪܐ:User en	Category:En 使用者
ܣܕܪܐ:User zh	Category:Zh 使用者
ܣܕܪܐ:User zh-N	Category:Zh 母语使用者
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ2	Template:Infobox
ܩܠܒܐ:User zh	Template:User zh
ܩܠܒܐ:ܐܫܛܪܘܬܐ/ܨܢܕܘܩ ܫܪܝܬܐ	Template:Documentation/start box
ܩܠܒܐ:Documentation/end box2	Template:Documentation/end box2
ܩܠܒܐ:Documentation/start box2	Template:Documentation/start box2
ܩܠܒܐ:ܩܠܒܐ ܐܚܪܝܢܐ	Template:Template other
ܩܠܒܐ:ܐܠܦܒܝܬ ܠܐܛܝܢܝܐ	Template:Infobox Latin common
ܣܕܪܐ:ܦܐܦܐ	Category:教宗
ܩܠܒܐ:Pp-template	Template:Pp-template
ܩܠܒܐ:User nl-1	Template:User nl-1
ܩܠܒܐ:User nl-2	Template:User nl-2
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ	Category:总统
ܩܠܒܐ:User ru	Template:User ru
ܩܠܒܐ:IPA	Template:IPA
ܣܕܪܐ:ܗܪܘܡܐ	Category:香料
ܣܕܪܐ:ܦܠܫܬ	Category:巴勒斯坦
ܣܕܪܐ:ܡܠܐܟܐ	Category:天使
ܣܕܪܐ:ܢܒܝܐ	Category:先知
ܩܠܒܐ:Rellink	Template:Rellink
ܩܠܒܐ:Category redirect	Template:分类重定向
ܩܠܒܐ:ܝܗܘܝܬܐ Venezuela	Template:Country data Venezuela
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܒܪܢܐ	Template:Infobox Officeholder
ܩܠܒܐ:Sortname	Template:Sortname
ܩܠܒܐ:Border	Template:Border
ܩܠܒܐ:ܡܢܝܢܐ ܕܝܪܚܐ	Template:MONTHNUMBER
ܩܠܒܐ:ܪܕ	Template:Fmbox
ܩܠܒܐ:ܝܗܘܝܬܐ Chile	Template:Country data Chile
ܩܠܒܐ:GUA	Template:GTM
ܩܠܒܐ:User nl	Template:User nl
ܩܠܒܐ:Navbox years	Template:NavboxYears
ܩܠܒܐ:ܡܣܦܩ ܩܐܫ	Template:Purge
ܩܠܒܐ:ܨܢܕܘܩ ܐܡܢܐ	Template:Infobox Artist
ܩܠܒܐ:ܡܦܠܚܢܐ	Template:User
ܣܕܪܐ:ܬܘܢܣ	Category:突尼西亞
ܩܠܒܐ:Sec link auto	Template:Sec link auto
ܩܠܒܐ:Cmbox	Template:Cmbox
ܩܠܒܐ:Mbox	Template:Mbox
ܩܠܒܐ:Oppose	Template:Oppose
ܩܠܒܐ:COL	Template:COL
ܩܠܒܐ:PER	Template:PER
ܩܠܒܐ:ܨܢܕܘܩ ܡܕܥܐ ܕܝܒܫܬܐ	Template:Infobox Continent
ܩܠܒܐ:User ar-2	Template:User ar-2
ܩܠܒܐ:User ar-3	Template:User ar-3
ܩܠܒܐ:User ar	Template:User ar
ܩܠܒܐ:ܝܘܡܐ ܕܫܒܘܥܐ	Template:星期中的日子
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܘܚܕܢܐ ܡܚܝܕܐ	Category:美國城市
ܩܠܒܐ:ܬ.ܐ.	Template:Disambig
ܩܠܒܐ:No	Template:未完成
ܣܕܪܐ:ܩܠܒܐ ܨܢܕܘܩܐ	Category:信息框模板
ܩܠܒܐ:Partial	Template:Partial
ܩܠܒܐ:ܩܘܕܝܟܘܣ ܕܣܕܪܐ	Template:CategoryTOC
ܩܠܒܐ:?	Template:?
ܩܠܒܐ:ܝܗܘܝܬܐ Colombia	Template:Country data Colombia
ܣܕܪܐ:User yue	Category:Zh-yue 使用者
ܣܕܪܐ:User az	Category:Az 使用者
ܣܕܪܐ:User sk	Category:Sk 使用者
ܣܕܪܐ:User fr	Category:Fr 使用者
ܣܕܪܐ:User ja	Category:Ja 使用者
ܣܕܪܐ:User la	Category:La 使用者
ܣܕܪܐ:User pt	Category:Pt 使用者
ܣܕܪܐ:User ro	Category:Ro 使用者
ܣܕܪܐ:User sv	Category:Sv 使用者
ܣܕܪܐ:User ko-N	Category:Ko 母語使用者
ܩܠܒܐ:User yue	Template:User zh-yue
ܩܠܒܐ:Cat main	Template:Catmore
ܣܕܪܐ:User ar	Category:Ar 使用者
ܣܕܪܐ:User arc	Category:Arc 使用者
ܣܕܪܐ:User da	Category:Da 使用者
ܣܕܪܐ:User sk-N	Category:Sk 母語使用者
ܣܕܪܐ:User de	Category:De 使用者
ܣܕܪܐ:User el	Category:El 使用者
ܣܕܪܐ:User en-N	Category:En 母语使用者
ܣܕܪܐ:User es	Category:Es 使用者
ܣܕܪܐ:User fa	Category:Fa 使用者
ܣܕܪܐ:User fi	Category:Fi 使用者
ܣܕܪܐ:User he	Category:He 使用者
ܩܠܒܐ:N/a	Template:N/A
ܣܕܪܐ:User hy	Category:Hy 使用者
ܣܕܪܐ:ܠܫܢܐ ܥܒܪܝܐ	Category:希伯來語
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܝܣܪܐܝܠ	Category:以色列城市
ܣܕܪܐ:User it	Category:It 使用者
ܣܕܪܐ:User ko	Category:Ko 使用者
ܣܕܪܐ:ܒܬܫܪܝܢ ܐܚܪܝ	Category:11月
ܣܕܪܐ:ܝܡܡܐ	Category:海洋
ܩܠܒܐ:ܐܠܦܒܝܬ ܝܘܢܝܐ	Template:Greek alphabet sidebar
ܩܠܒܐ:No2	Template:No2
ܩܠܒܐ:Rh	Template:Rh
ܩܠܒܐ:ܡܢܝܢܐ ܕܡܡܪܐ ܦܪܝܫܐ	Template:FA number
ܩܠܒܐ:ܣܡܘܩܐ	Template:紅
ܣܕܪܐ:ܒܝܬܝܘܬܐ	Category:家世與傳承
ܩܠܒܐ:ܝܗܘܝܬܐ Brazil	Template:Country data Brazil
ܩܠܒܐ:Yes2	Template:Yes2
ܬܪܥܐ:ܬܘܕܝܬܐ	Portal:宗教
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܥܠ ܐܬܪܐ	Category:各国总统
ܣܕܪܐ:User ru	Category:Ru 使用者
ܣܕܪܐ:User ru-3	Category:Ru-3 使用者
ܣܕܪܐ:User templates en	Category:英语巴别模板
ܣܕܪܐ:User tl	Category:Tl 使用者
ܣܕܪܐ:User tr	Category:Tr 使用者
ܣܕܪܐ:ܙܡܪܐ	Category:音乐家
ܩܠܒܐ:Lang	Template:Lang
ܣܕܪܐ:ܪܫܘܡܐ	Category:画家
ܩܠܒܐ:ܫܠܝܚܐ ܕܡܫܝܚܐ	Template:耶稣的十二使徒
ܩܠܒܐ:ܟܬܒܐ ܩܕܝܫܐ	Template:聖經相關
ܩܠܒܐ:Busy/Doc	Template:Busy
ܣܕܪܐ:ܐܡܢܐ ܥܠ ܐܕܫܐ	Category:各種職業
ܩܠܒܐ:CHI	Template:CHL
ܣܕܪܐ:ܡܕܝܢܬܐ ܒܐܢܓܠܢܕ	Category:英格蘭各郡聚居地
ܩܠܒܐ:Cat handler/numbered	Template:Category handler/numbered
ܣܕܪܐ:ܢܝܓܪ	Category:尼日
ܩܠܒܐ:Chinese calendar/cycle	Template:Chinese calendar/cycle
ܩܠܒܐ:Infobox language/family-color	Template:Infobox Language/family-color
ܩܠܒܐ:User ar-0	Template:User ar-0
ܣܕܪܐ:ܣܥܪܐ	Category:髮型
ܩܠܒܐ:User ar-4	Template:User ar-4
ܣܕܪܐ:ܢܗܪܘܬܐ	Category:河流
ܩܠܒܐ:User he-0	Template:User he-0
ܩܠܒܐ:User he-3	Template:User he-3
ܩܠܒܐ:User he-4	Template:User he-4
ܩܠܒܐ:User ko	Template:User ko
ܩܠܒܐ:User pt	Template:User pt
ܣܕܪܐ:User nl	Category:Nl 使用者
ܣܕܪܐ:User no	Category:No 使用者
ܣܕܪܐ:ܣܘܪܝܐ	Category:敘利亞
ܣܕܪܐ:ܕܪܐ ܩܕܡܝܐ	Category:1世纪
ܣܕܪܐ:ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Category:半岛
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܗܘܠܢܕܐ	Category:荷兰省份
ܣܕܪܐ:ܡܢܝܢܐ	Category:整数
ܣܕܪܐ:ܡܕܝܢܬܐ ܕܥܝܪܐܩ	Category:伊拉克城市
ܣܕܪܐ:ܥܝܢܐ (ܨܪܘܝܘܬܐ)	Category:眼睛
ܣܕܪܐ:ܓܘܪܓܝܐ	Category:喬治亞
ܣܕܪܐ:ܟܘܘܝܬ	Category:科威特
ܣܕܪܐ:ܠܒܢܢ	Category:黎巴嫩
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Category:美国总统
ܣܕܪܐ:ܝܘܪܕܢܢ	Category:约旦
ܣܕܪܐ:ܦܐܪܐ	Category:水果
ܣܕܪܐ:ܝܘܠܦܢ ܟܘܪܗܢܐ	Category:病理学
ܣܕܪܐ:ܓܒܐ	Category:政党
ܣܕܪܐ:ܕܝܬܝܩܝ ܚܕܬܐ	Category:新约圣经
ܣܕܪܐ:ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Category:旧约圣经
ܣܕܪܐ:ܐܘܩܝܢܘ	Category:远洋
ܣܕܪܐ:ܓܪܡܐ	Category:骨骼
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Category:加拿大一級行政區
ܣܕܪܐ:ܚܝܘܬܐ	Category:动物
ܣܕܪܐ:ܛܘܪܐ	Category:山脉
ܣܕܪܐ:ܣܘܥܪܢܐ	Category:事件
ܣܕܪܐ:ܟܘܪܗܢܐ	Category:疾病
ܣܕܪܐ:User pl	Category:Pl 使用者
ܣܕܪܐ:ܩܣܪ	Category:皇帝
ܣܕܪܐ:ܡܕܒܪܐ	Category:沙漠
ܣܕܪܐ:ܝܡܡܬܐ	Category:湖泊
ܩܠܒܐ:ܨܢܕܘܩ ܡܚܡܝܬܐ ܡܨܥܝܐ	Template:Infobox media
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ ܕܠܫܢܐ	Template:Infobox Language
ܣܕܪܐ:ܩܛܠܥܡܐ	Category:屠殺
ܨܝܢ	中國 (消歧義)
ܣܕܪܐ:ܠܫܢܐ ܘܠܥܙܐ ܨܝܢܝܐ	Category:汉语方言
ܛܪܘܝܐܢܝ	特洛疆尼
ܩܠܒܐ:Sister	Template:Sister
ܣܕܪܐ:ܢܒܝܐ ܕܕܝܬܝܩܝ ܥܬܝܩܬܐ	Category:希伯来圣经先知
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Category:東方亞述教會牧首
ܩܠܒܐ:ܝܗܘܝܬܐ Falkland Islands	Template:Country data Falkland Islands
ܣܕܪܐ:ܦܛܪܝܪܟܘ	Category:牧首
ܣܕܪܐ:ܒܝܬ ܟܬܒܐ	Category:圖書館
ܣܕܪܐ:ܫܢܬܐ ܥܕܬܢܝܬܐ	Category:教會年曆
ܣܕܪܐ:ܐܪܙܐ	Category:聖事
ܣܕܪܐ:ܒܝܬ ܢܗܪܝܢ	Category:两河流域
ܣܕܪܐ:ܓܘܢܐ	Category:颜色
ܩܠܒܐ:ܝܗܘܝܬܐ South Georgia and the South Sandwich Islands	Template:Country data South Georgia and the South Sandwich Islands
ܣܕܪܐ:ܦܣܩܐ ܕܝܘܡܐ	Category:一天裡的時刻
ܣܕܪܐ:ܩܠܒܐ	Category:按功能分类的模板
ܕܒܘܪܐ (ܪܚܫܐ)	黄蜂
ܩܠܒܐ:ܣܘܪܓܕܐ ܚܘܫܒܢܐ	Template:Year in other calendars
ܣܕܪܐ:ܩܕܝܫܐ	Category:聖人
ܩܪܕܐ (ܪܚܫܐ)	蜱
ܩܠܒܐ:ܣܝܩܘܡ ܫܘܪܝܐ	Template:Start date
ܩܠܒܐ:User nl-4	Template:User nl-4
ܩܠܒܐ:User nl-3	Template:User nl-3
ܩܠܒܐ:Tim	Template:Tim
ܩܠܒܐ:ܠܫܢܐ ܨܝܢܝܐ	Template:汉语
ܩܠܒܐ:P1	Template:P1
ܢܘܓܗܐ	拂晓
ܩܠܒܐ:Documentation/core2	Template:Documentation/core2
ܘܝܩܝܦܕܝܐ:NavFrame	Help:摺疊顯示
ܩܠܒܐ:Infobox language/genetic	Template:Infobox language/genetic
ܩܠܒܐ:Chinese calendar/year/78	Template:Chinese calendar/year/78
ܕܝܠܢܝܐ:ܫܘܚܠܦ̈ܐ ܚܕ̈ܬܐ	Special:最近更改
ܩܠܒܐ:Chinese calendar/month/78/27	Template:Chinese calendar/month/78/27
ܩܠܒܐ:Documentation/core	Template:Documentation/core
