阿非利加洲	非洲
箜篌	箜篌
俄羅斯正教會	俄罗斯正教会
鯢	中國大鯢
空師	空军
大名	大名 (称谓)
智永	智永
南齊	南齐
ㄆ	ㄆ
苗栗縣	苗栗縣
色盲檢測圖	石原氏色盲檢測圖
威氏鷸	威氏鹬
哈布斯堡氏	哈布斯堡王朝
中央銀行	中央银行
福州市	福州市
南平市	南平市
莆田市	莆田市
三明市	三明市
泉州市	泉州市
廈門市	厦门市
漳州市	漳州市
龍岩市	龙岩市
寧德市	宁德市
北京城門	北京城门
西寧市	西宁市
西遊記	西游记
三國演義	三国演义
水滸傳	水浒传
鄂州市	鄂州市
福島縣	福岛县
豬油	豬油
新竹縣	新竹縣
鞍山市	鞍山市
羅馬治世	罗马治世
克羅內克	利奥波德·克罗内克
康托爾	格奥尔格·康托尔
戴德金	理查德·戴德金
寒武紀	寒武纪
十六元數	十六元數
神聖羅馬皇帝腓特烈一世	腓特烈一世 (神圣罗马帝国)
前三八七年	前387年
盲文	盲文
千葉縣	千葉縣
賽珍珠	赛珍珠
聯合國秘書長	联合国秘书长
龐加萊	儒勒·昂利·庞加莱
西北水道	西北水道
十進制	十进制
烯烴	烯烃
皇祚	君之代
氣壓	气压
箸	筷子
南投縣	南投縣
標點符號	标点符号
英格蘭王表	英格蘭君主列表
片假名	片假名
民之旨	人民的意志
臺北一零一	台北101
化學式	化学式
波斯	波斯
群 (代數)	群
三十六計	三十六计
天安門	天安门
波蘭球	波兰球
水星領航員	水星領航員
三角函數	三角函数
六四事件	六四事件
趙紫陽	赵紫阳
胡耀邦	胡耀邦
安樂死	安乐死
姓氏	姓氏
醛	醛
規	圆规
物質之量	物质的量
平安北道	平安北道
咸鏡南道	咸镜南道
島國	島嶼國家
華山	华山
桃園市	桃園市
尺規作圖	尺规作图
耶律楚材	耶律楚材
京都府	京都府
絕對值	绝对值
羅賓漢	罗宾汉
表數法	记数系统
大阪府	大阪府
瑪瑙	瑪瑙
愛媛縣	爱媛县
圓錐曲線	圆锥曲线
海平面	海平面
玄武	玄武
羅馬皇帝表	羅馬皇帝列表
矢量空間	向量空间
距	距离
臺灣海峽	台灣海峽
山口縣	山口县
市盈率	市盈率
神奈川縣	神奈川縣
中國地方	中国地方
長野縣	长野县
殷商	商朝
色諾芬	色诺芬
兵庫縣	兵库县
廣州恆大淘寶蹴鞠會	广州恒大淘宝足球俱乐部
關係 (數學)	二元关系
等價	等价关系
主格	主格
泰國灣	泰國灣
螳螂	螳螂
維基大典:書海	Wikipedia:网络书源
征夷大將軍	征夷大將軍
春節	春節
切腹	切腹
色盲	色盲
彰化縣	彰化縣
阿什莫爾島與卡捷島	阿什莫尔和卡捷群岛
農曆	農曆
可樂	可乐
高知縣	高知县
道德經	老子 (書)
萬有引力	牛顿万有引力定律
坐標幾何	解析几何
芬瑟島	弗雷澤島
蹴鞠	蹴鞠
臺南市	臺南市
阮籍	阮籍
與格	与格
摩爾質量	摩尔质量
滿洲族	满族
義大利半島	意大利半島
袁枚	袁枚
汽水	軟性飲料
天象館	天象儀
微積分	微积分学
岳陽市	岳阳市
東寧	明鄭時期
李斯	李斯
雲林縣	雲林縣
碗	碗
全等	全等 (幾何)
維多利亞港	維多利亞港
義勇軍進行曲	义勇军进行曲
數理物理	数学物理
紅花	红花
庖人	廚師
大正天皇	大正天皇
主義	主义
毛納洛峰	冒纳罗亚火山
富牌國際機場	富牌國際機場
修道院	隐修院
符節	密码
環 (代數)	环 (代数)
環球小姐	环球小姐
香川縣	香川县
曲線	曲线
白求恩	白求恩
牽牛花	牽牛花
中日戰爭	中日战争
平面幾何	欧几里得几何
葉問	葉問
基數	基数 (数学)
二元運算	二元运算
餘弦定理	餘弦定理
新幹線	新幹線
雙曲線	双曲线
星際爭霸	星际争霸
反射	反射 (物理学)
嘉義縣	嘉義縣
形意拳	形意拳
近視	近視
代數數	代數數
笮融	笮融
夏后氏	夏朝
連續	連續函數 (拓撲學)
教廷諸屬國	教皇国
濟南市	济南市
十一月革命	德国十一月革命
中國抗日戰爭	中国抗日战争
青島市	青岛市
PSP	PlayStation Portable
葛利斯五八一丙	格利泽581c
官能團	官能团
世氣公會	世界气象组织
見即所得	所見即所得
新西班牙代王領	新西班牙總督轄區
織田信長	織田信長
向日葵	向日葵
南昌市	南昌市
中壢區	中壢區
玫瑰之名	玫瑰之名
幾何原本	几何原本
米高·哥連斯	迈克尔·柯林斯
金本位	金本位
直積	笛卡儿积
艾狄胥	保罗·埃尔德什
四元數	四元數
長沙市	长沙市
有機化合物	有机化合物
明治天皇	明治天皇
源實朝	源實朝
蜉蝣	蜉蝣目
伊藤博文	伊藤博文
絞刑	绞刑
門:史	Portal:历史
電極	电极
阿拉伯數字	阿拉伯数字
股骨	股骨
子集	子集
海東青	海东青
日文維基大典	日語維基百科
繁體字	繁体中文
甲午戰爭	甲午战争
哈丹格爾小提琴	哈丹格尔小提琴
克里希那穆提	吉杜·克里希那穆提
宦官	宦官
汀九橋	汀九橋
選擇公理	选择公理
行星環	行星环
青藏高原	青藏高原
拓撲空間	拓扑空间
古文書	古文字学
數學符表	数学符号表
錫克金廟	哈曼迪爾寺
查良鏞	金庸
袁安	袁安
卡奔塔利亞灣	卡奔塔利亞灣
度量空間	度量空间
千分比	千分比
交換群	阿贝尔群
高雄市	高雄市
華盛頓歐文	華盛頓·歐文
易經	易经
弩	弩
渤海	渤海
甑帶瘡	带状疱疹
西楚霸王	项羽
戰艦	戰艦
人魚	人魚
海倫公式	海伦公式
昆明市	昆明市
天氣預報	天气预报
人蔘	人蔘
回族	回族
蘭州市	兰州市
期貨	期货
鰂	乌贼
十惡	十恶 (法律)
林則徐	林则徐
三國	三国
春秋時代	春秋时期
戰國	戰國
名偵探柯南	名侦探柯南
區間	區間
清宣統帝	溥仪
併集	并集
簡化字	简化字
合肥市	合肥市
交集	交集
常染色體	常染色体
啓	启
簡歷	简历
中國時區	中國時區
蝴蝶效應	蝴蝶效应
豐臣秀吉	丰臣秀吉
假名	日語假名
民律大全	民法大全
白鱀豚	白鱀豚
弦	弦 (幾何)
平昌郡	平昌郡
泰國國際航空	泰國國際航空
北九州市	北九州市
匈奴	匈奴
孟子	孟子
曾國藩	曾国藩
桂林市	桂林市
海口市	海口市
無機化合物	无机化合物
域 (代數)	域 (數學)
海拔	海拔
挪威廣播公司	挪威廣播公司
中原	中原
道	道
世界語維基大典	世界語維基百科
刺身	刺身
中泰國	泰国中部地区
高錳酸鉀	高锰酸钾
鴉片戰爭	第一次鸦片战争
魔鬼之詩篇	撒旦诗篇
有序對	有序对
金屬鍵	金属键
書面挪威語維基大典	挪威語維基百科
序數	序数
南京大屠殺	南京大屠殺
吳廷琰	吳廷琰
複式記帳	复式簿记
麵	面条
化學符號	元素符号列表
路易斯安那購地案	路易斯安那購地
扇	扇子
平安時代	平安时代
旦	日出
韓信點兵	中国剩余定理
梅涅勞斯定理	梅涅劳斯定理
無窮小	無窮小量
屏東縣	屏東縣
彰化市	彰化市
單鏡筒反光相機	单镜反光相机
雙城子	双城子
章炳麟	章太炎
張飛	张飞
張郃	張郃
張紘	張紘
張角	張角
張衡	张衡
張居正	張居正
憲法十七條	十七条宪法
張遼	張遼
張騫	張騫
張三丰	张三丰
張載	張載 (北宋)
張昭	张昭 (三国)
張仲景	張仲景
趙 (釋義)	赵
趙	赵国
趙雲	赵云
浙江大學	浙江大学
鄭成功	鄭成功
鄭玄	郑玄
鎮海區	镇海区 (宁波市)
鍾會	鍾會
中和區	中和區
周敦頤	周敦颐
周公亶父	周太王
周泰	周泰 (三國)
周瑜	周瑜
周作人	周作人
朱治	朱治
帝顓頊	颛顼
諸葛誕	諸葛誕
諸葛瑾	诸葛瑾
諸葛恪	诸葛恪
諸葛瞻	诸葛瞻
諸葛亮	诸葛亮
慶良間群島	慶良間群島
大漢溪	大漢溪
壯學	壮学
烏克蘭語維基大典	烏克蘭語維基百科
阿拉伯文維基大典	阿拉伯語維基百科
金孟加拉	金色的孟加拉
希伯來文維基大典	希伯來語維基百科
洞里薩湖	洞里萨湖
賈姆謝德布爾	贾姆谢德布尔
越南文維基大典	越南語維基百科
負數	负数
中醫	中医学
高松市	高松市
中華人民共和國憲法	中华人民共和国宪法
王粲	王粲
提格兰二世	提格兰二世
珠江	珠江
泰西格致史	科学史
五帝	三皇五帝
瑪格麗特一世	玛格丽特一世
日本國會	日本國會
先哥倫布	前哥倫布時期
英聯邦王國	英聯邦王國
彼得一世島	彼得一世岛
紫荊關	紫荆关
十二銅表法	十二铜表法
李商隱	李商隐
漢魏武王	曹操
連江縣	连江县
斬首	斬首
垂直	垂直
無窮集合	无限集合
冪集	冪集
魚鉤	鱼钩
齊齊哈爾市	齐齐哈尔市
椰蟹	椰子蟹
俄文維基大典	俄語維基百科
平行公理	平行公設
資治通鑒	資治通鑒
春武里府	春武里府
西線無戰事	西线无战事
嘧啶	嘧啶
泰王國歌	泰國國歌
冬至	冬至
中國中央電視臺	中国中央电视台
圖蘭朵	杜蘭朵
巴列維王朝	巴列维王朝
天皇	天皇
熱帶雨林氣候	熱帶雨林氣候
袁世凱	袁世凯
北海市	北海市
袋鼠島	坎加鲁岛
阮世祖	阮福映
辛普生沙漠	辛普森沙漠
雷曼兄弟公司	雷曼兄弟
娜塔莎·北鼎斐	娜塔莎·貝汀菲兒
開集	开集
測地線	测地线
塞瓦定理	塞瓦定理
健陀羅	健馱邏國
愛爾蘭共和國總統	爱尔兰总统
內積空間	内积空间
金奎植	金奎植
江戶	江戶
金九	金九
泰山	泰山
荀況	荀子
九江市	九江市
反氫	反氫
占婆	占婆
倒數	倒数
黃道兇賊	黃道十二宮殺手
陰陽五行	五行
夫妻	夫妻
盧溝橋事變	七七事变
關羽	关羽
龜	龜
阮福晪	保大帝
元 (釋義)	元
空集	空集
祖茂	祖茂 (東漢)
祖沖之	祖冲之
羅馬 (釋義)	罗马 (消歧义)
左氏春秋	左传
連通	连通图
瀨戶內海	瀨戶內海
自由民主黨	自由民主党 (日本)
環	环
利瑪竇	利玛窦
原富	國富論
甘麻剌	甘麻剌
技術分析	技术分析
哆啦A夢	哆啦A夢
宋卡府	宋卡府
甲米府	甲米府
拉廊府	拉廊府
伏羲	伏羲
宜蘭縣	宜蘭縣
法家	法家
九龍	九龍
素叻府	素叻府
成本	成本
桐艾府	桐艾府
五代	五代十国
瑪麗·簡·凱利	玛丽·简·凯利
森理世	森理世
補集	补集
靖國神社	靖国神社
博他侖府	博他侖府
鹽田	鹽田
班武里府	班武里府
洛坤府	洛坤府
春蓬府	春蓬府
新北市	新北市
臺中市	臺中市
漢昭烈皇帝	刘备
干支	干支
三國志	三國志
邁克學搖滾	迈克尔学摇滚
花蓮縣	花蓮縣
金門縣	金門縣
臺東縣	臺東縣
新竹市	新竹市
嘉義市	嘉義市
基隆市	基隆市
副省級市	副省级市
從眾	訴諸群眾
牢不可破之聯盟	牢不可破的联盟
相似	相似 (幾何)
夏世祖武烈皇帝	赫连勃勃
年號	年号
分離 (拓撲)	分离集合
大韓高宗	朝鮮高宗
語序	語序
摩托羅拉	摩托罗拉
丁汝昌	丁汝昌
賢哲賽義巴巴	舍地·賽·巴巴
淨土宗	淨土宗
安妮·查普曼	安妮·查普曼
聖德太子	聖德太子
沈括	沈括
內湖區	內湖區
貴金屬	貴金屬
懿德天皇	懿德天皇
史記	史记
早稻田大學	早稻田大学
孫吳	孫吳
論語	论语
泰華農民銀行	開泰銀行
姜維	姜维
尚眞王	尚真王
平清盛	平清盛
創意公用授權條款	创作共用授权
澳洲聯邦銀行	澳洲聯邦銀行
海寧市	海宁市
拉臘·杜塔	拉腊·杜塔
小野田寬郎	小野田寬郎
清太宗	皇太極
漢高皇后	吕雉
楊貴妃	杨贵妃
蔡琰	蔡文姬
推古天皇	推古天皇
漢孝成班婕妤	班婕妤
清德宗	光绪帝
文徵明	文徵明
鎖國	孤立主义
戈登	查理·喬治·戈登
清世祖	顺治帝
清太祖	努尔哈赤
進數	P進數
卡拉卡拉敕令	安东尼努斯敕令
明智光秀	明智光秀
綏靖天皇	綏靖天皇
阮攸	阮攸
白居易	白居易
吳大帝	孙权
屈原	屈原
魏世祖文皇帝	曹丕
神農	神农
小淵惠三	小渊惠三
帝舜	舜
安寧天皇	安寧天皇
發勃耳	让-亨利·法布尔
張國榮	張國榮
蔣經國	蔣經國
王維	王维
後醍醐天皇	後醍醐天皇
陶潛	陶渊明
桓武天皇	桓武天皇
林彪	林彪
清世宗	雍正帝
呂布	吕布
鴨脷洲	鴨脷洲
清穆宗	同治帝
韓愈	韩愈
王安石	王安石
德川吉宗	德川吉宗
米芾	米芾
拓撲閉包	闭包 (拓扑学)
閉集	闭集
閉開集	闭开集
曹魏	曹魏
作格	作格
尖竹汶府	尖竹汶府
陳省身	陈省身
第十五屆亞洲運動會	2006年亚洲运动会
基斯孔哈拉斯	基什孔豪洛什
覆蓋	覆盖 (拓扑学)
竭澤而漁	過度捕魚
廢藩置縣	廢藩置縣
通格	通格
清仁宗	嘉庆帝
正親町天皇	正親町天皇
董卓	董卓
林語堂	林语堂
孫臏	孙膑
杜牧	杜牧
孫堅	孙坚 (东吴)
石田三成	石田三成
大韓純宗	朝鮮純宗
朝鮮世祖	朝鮮世祖
歐陽脩	欧阳修
清宣宗	道光帝
岳飛	岳飞
清文宗	咸丰帝
北柳府	北柳府
羅勇府	羅勇府
袁紹	袁绍
柳宗元	柳宗元
包拯	包拯
大雪	大雪
新店區	新店區
八音	八音
八議	八议
阮景宗	同慶帝
司馬懿	司马懿
福澤諭吉	福泽谕吉
安慶市	安庆市
安祿山	安祿山
六安市	六安市
呂不韋	吕不韦
武丁	武丁
陳獨秀	陈独秀
土城區	土城區
魏 (釋義)	魏
崇明島	崇明岛
魏徵	魏徵
藤原定家	藤原定家
夏侯惇	夏侯惇
曹仁	曹仁
坂本龍馬	坂本龙马
王守仁	王守仁
魏烈祖明皇帝	曹叡
朝鮮太祖	李成桂
陸遜	陸遜
東明聖王	高朱蒙
夏侯淵	夏侯渊
李鴻章	李鴻章
南唐後主	李煜
魏延	魏延
黃忠	黄忠
顧愷之	顾恺之
王羲之	王羲之
康托爾悖論	康托尔悖论
中秋	中秋节
李珥	李珥
光中帝	阮惠
梁啟超	梁启超
尹鑴	尹鑴
霍去病	霍去病
孫策	孙策
范仲淹	范仲淹
沙繳府	沙繳府
緊集	紧空间
依善	依善地区
龐統	庞统
冒頓單于	冒顿
高順	高順
海上花	海上花 (1998年电影)
成都雙流國際機場	成都双流国际机场
世說新語	世说新语
赤腹蠑螈	紅腹蠑螈
南陽市	南阳市
臺南	臺南
南投	南投
秋葉原	秋葉原
徐光啟	徐光启
虹吸	虹吸
南充市	南充市
維基大典撰者密笈	维基百科编辑手册
北條時宗	北條時宗
鄧小平理論	邓小平理论
藤原道長	藤原道長
阮聖祖	明命帝
戚繼光	戚继光
董仲舒	董仲舒
阮出帝	咸宜帝
托勒密定理	托勒密定理
丸龜市	丸龜市
盧照鄰	卢照邻
中山慶子	中山慶子
鄧麗君	鄧麗君
孫破虜吳夫人	孙破虏吴夫人
吳末帝滕皇后	滕皇后
北條政子	北条政子
吳昭獻皇后	何姬
吳大帝潘夫人	潘皇后 (孙权)
漢光烈皇后	阴丽华
李清照	李清照
明成皇后	明成皇后
殷墟	殷墟
阮福昭	成泰帝
夏帝履癸	桀
詩經	诗经
阮福晃	維新帝
秋瑾	秋瑾
阮簡宗	建福帝
阮福昇	協和帝
自斷	自割
足利義量	足利义量
戈公省	戈公省
效用	效用
阮翼宗	嗣德帝
大月氏	月氏
吳三桂	吴三桂
甘寧	甘宁
元稹	元稹
嵇康	嵇康
陳納德	陳納德
于禁	于禁
典韋	典韦
龐德	龐德
馬超	马超
周公旦	周公旦
太史慈	太史慈
阮弘宗	啟定帝
徐晃	徐晃
吳景帝	孫休
淩統	凌統
漢後主	刘禅
陳壽	陈寿
山口二矢	山口二矢
興宣獻懿大院君	兴宣大院君
吳末帝	孙皓
吳會稽王亮	孫亮
商帝辛	帝辛
呂蒙	吕蒙
潘清簡	潘清簡
齊桓公	齐桓公
劉表	刘表
商湯	商汤
噌汁	味噌湯
樂進	樂進
北港鎮	北港鎮 (臺灣)
偏序	偏序关系
康托爾定理	康托尔定理
長島區	長島縣 (攀牙府)
新山一國際機場	新山一國際機場
晁衡	阿倍仲麻呂
安重根	安重根
朝鮮半島	朝鲜半岛
電車	電聯車
和服	和服
遜尼派	遜尼派
朝鮮宣祖	朝鮮宣祖
朝鮮孝宗	朝鮮孝宗
白翎島	白翎岛
汝矣島純福音教會	汝矣島純福音教會
哥德巴赫猜想	哥德巴赫猜想
韓國銀行	韩国银行
三國遺事	三國遺事
坤輿萬國全圖	坤輿萬國全圖
社會教育放送	KBS韓民族放送
三國史記	三国史记
國家情報院	大韓民國國家情報院
鬱陵郡	鬱陵郡
朝鮮漢字	朝鮮漢字
新羅真平王	真平王
尹元衡	尹元衡
李埈鎔	李埈镕
趙光祖	趙光祖
李滉	李滉
國會議員	国会议员
崔致遠	崔致远
摩爾體積	摩尔体积
丙子胡亂	丙子戰爭
丁卯胡亂	丁卯戰爭
傲遊瀏覽器	傲游浏览器
竹島 (鬱陵郡)	竹嶼
復旦大學	复旦大学
可居島	可居岛
馬羅島	马罗岛
箕子	箕子
獎忠體育館	奖忠体育馆
韓國國際廣播電臺	韩国国际广播电台
日向礁	日向礁
西海岸高速道路	西海岸高速公路
交換日記	交換日記
世宗文化會館	世宗文化會館
朝鮮王朝實錄	李朝實錄
萌	萌
琉璃明王	琉璃明王
廣開土王	好太王
韓國放送公社	韓國放送公社
涼宮春日系列	涼宮春日系列
直轄市	直辖市
莎阿南	莎阿南
玉山	玉山
大嶼山	大嶼山
楚	楚国
梅爾維爾島	梅尔维尔岛 (澳大利亚)
新	新朝
北太平洋露脊鯨	北太平洋露脊鯨
海北藏族自治州	海北藏族自治州
蒼龍	青龙
鶯歌區	鶯歌區
中庸	中庸
西單民主牆	西单民主墙
中國禮儀之爭	中国礼仪之争
鳳凰	凤凰
宋教仁	宋教仁
阮恭宗	育德帝
中正紀念堂	中正紀念堂
阮憲祖	紹治帝
吳清源	吳清源
塔如濤群島	达鲁国家海洋公园
秦襄公	秦襄公
真言宗	真言宗
初音未來	初音未來
餛飩	馄饨
秦非子	非子
星期四島	星期四岛
教會羅馬字	白話字
滿寵	滿寵
超濾法	超滤
賈詡	贾诩
曹真	曹真
馬騰	馬騰
黃蓋	黃蓋
許慎	許慎
孔融	孔融
許褚	许褚
司馬相如	司馬相如
魯肅	鲁肃
吉田松陰	吉田松阴
錢鍾書	錢鍾書
嚴復	嚴復
沈約	沈约
泰文維基大典	泰語維基百科
猫眼林克	林克 (塞尔达传说)
蘇通長江大橋	苏通长江公路大桥
尼奧寵物	尼奧寵物
沙鹿區	沙鹿區
包頭市	包头市
板橋區	板橋區 (新北市)
大化革新	大化改新
平溪區	平溪區
瑞芳區	瑞芳區
三重區	三重區
三峽區	三峽區
樹林區	樹林區
永和區	永和區
楊維楨	楊維楨
韓景侯	韓景侯
韓信	韩信
韓哀侯	韓哀侯
韓文侯	韓文侯
文天祥	文天祥
呂正操	吕正操
壬辰倭亂	萬曆朝鮮之役
魏鄧哀王	曹冲
小行星三千	小行星3000
軍曹	Keroro軍曹
出雲國	出雲國
太平御覽	太平御览
梁羽生	梁羽生
原口證	原口證
徐盛	徐盛
花崗岩島	花岗岩岛 (澳大利亚)
新界	新界
武漢天河國際機場	武汉天河国际机场
三字經	三字经
香港浸會大學	香港浸會大學
午餐肉	午餐肉
草書	草书
呂底亞	呂底亞
自焚	自焚
廬山	庐山
老撾之歌	老挝人民歌
日省錄	日省錄
謝靈運	谢灵运
夏禹	禹
藤原氏	藤原氏
漢 (釋義)	汉
衡山	衡山
杭思朗	阿姆斯特朗
馬步芳	马步芳
香港語言學學會粵語拼音方案	香港語言學學會粵語拼音方案
刀	刀 (武器)
水龍頭	水龍頭
沈葆楨	沈葆楨
子拓撲	相對化拓撲
廣州地鐵	广州地铁
車裂	車裂
嘉定區	嘉定区
金山區	金山区 (上海市)
性染色體	性別決定系統
斗六市	斗六市
算術基本定理	算术基本定理
存活期	存活時間
稠密	稠密集
崑曲	昆曲
流亡政府	流亡政府
古魯特島	格鲁特岛
中文數字	中文数字
天主教輔仁大學	輔仁大學
武器貿易條約	武器贸易条约
Habanera	爱情是一只自由的鸟儿
龜船	龟船
永樂大典	永乐大典
諡	谥号
陽明學	阳明学
國立中正大學	國立中正大學
劉劭	刘劭
臺北盆地	台北盆地
大東諸島	大東群島
佟麟閣	佟麟阁
閔子騫	闵损
曹休	曹休
中央廣播電臺	中央廣播電臺
魏陳思王	曹植
吳起	吴起
周文王	周文王
軒轅劍系列	軒轅劍系列
恆春丙戌地震	2006年恆春地震
李時珍	李时珍
東沙	東沙群島
王平	王平 (三国)
朱一貴	朱一貴
昭儀	昭仪
杜月笙	杜月笙
劉基	刘伯温
張勳	張勳
曹爽	曹爽
朝鮮八道	朝鮮八道
陳勝	陈胜
曹彰	曹彰
杭州灣	杭州湾
高雄捷運	高雄捷運
和珅	和珅
南管	南管
劉封	劉封
王昭君	王昭君
韓服	韓服
劉基 (孫吳)	刘基 (三国)
陳子昂	陳子昂
曹純	曹純
李典	李典
張良	张良
衛青	卫青
衛滿	衛滿
杜如晦	杜如晦
施琅	施琅
聶榮臻	聂荣臻
傳習錄	传习录
仁安 (渤海國)	仁安 (渤海)
張靈甫	張靈甫
劉綎	劉綎
李嚴	李严 (蜀汉)
吳景	吳景
漢楚元王	劉交
李密令伯	李密 (西晋)
齊太公	太公望
陳武	陳武 (東漢)
唐景崧	唐景崧
宗愛	宗愛
朝香鳩彥	朝香宮鳩彥王
劉伯承	刘伯承
韓當	韓當
滷肉飯	滷肉飯
劉繇	劉繇
漢吳王濞	劉濞
臭豆腐	臭豆腐
泉蓋蘇文	淵蓋蘇文
王戎	王戎
潘璋	潘璋
金蛙王	金蛙王
魏忠賢	魏忠贤
劉琦	劉琦
劉焉	劉焉 (益州牧)
衛滿朝鮮	卫满朝鲜
鄭迵	鄭迵
蒼南縣	苍南县
崔怡	崔瑀
王昌齡	王昌龄
李陵	李陵
李仁宗	李仁宗
段祺瑞	段祺瑞
中國醫藥大學	中國醫藥大學
臺灣高速鐵路	台灣高速鐵路
臺灣問題	台灣問題
漢孝成趙皇后	赵飞燕
太平公主	太平公主
健行科技大學	健行科技大學
劉岱	劉岱
威化島	威化岛
漢代頃侯	刘喜 (代王)
王淩	王凌
吳廣	吴广
王連	王連
劉曄	刘晔 (三国)
劉琰	劉琰
陳震	陈震 (三国)
國立成功大學	國立成功大學
梅堯臣	梅尧臣
曹鄴	曹鄴
魏中山恭王	曹袞
劉伶	刘伶
劉禹錫	刘禹锡
黃興	黄兴
富春山居圖	富春山居图
張自忠	张自忠
王翦	王翦
韓世忠	韩世忠
魏沛穆王	曹林
趙括	赵括
于謙	于谦
賈似道	贾似道
張溫	张温 (东吴)
裴秀	裴秀
徐繼畬	徐继畬
三省六部	三省六部
劉琮	劉琮 (劉表之子)
魏燕王宇	曹宇
黃金坪島	黄金坪
陶鑄	陶铸
王之渙	王之涣
錢穆	錢穆
國立中興大學	國立中興大學
玄菟郡	玄菟郡
劉銘傳	劉銘傳
文湖線	台北捷運文湖線
大腸包小腸	大腸包小腸
方孝孺	方孝孺
閩太祖	王審知
濁水溪	濁水溪
草屯鎮	草屯鎮
韓侂胄	韓侂冑
虎尾鎮	虎尾鎮
雍正	雍正
黃庭堅	黃庭堅
劉永福	刘永福
斗南鎮	斗南鎮
彭佳嶼	彭佳嶼
金農	金农
裴松之	裴松之
西螺鎮	西螺鎮
高孝瓘	高長恭
曹氏	曹姓
張悌	張悌 (東吳)
大正民主	大正民主
羅隱	羅隱
魏陳留恭王	曹峻
楊慎	杨慎
劉太公	劉太公
潘濬	潘濬
張承	张承
黃家駒	黃家駒
宋哲元	宋哲元
張休	张休
林尚義	林尚義
漢齊悼惠王	劉肥
紀昀	紀昀
陳慶之	陈庆之
張耳	張耳
鄭燮	郑燮
崔忠獻	崔忠獻
王敦	王敦
公共電視臺	公共電視文化事業基金會
陳餘	陳餘
李如松	李如松
擔仔麵	擔仔麵
鹿屯島	鹿屯島
韓王信	韓王信
國立臺灣師範大學附屬高級中學	國立臺灣師範大學附屬高級中學
韓綜	韓綜
宋璟	宋璟
張九齡	张九龄
尹默	尹默
吳質	吳質
漢孝平王皇后	孝平王皇后
漢孝惠皇后	孝惠張皇后
趙奢	趙奢
齊丁公	齊丁公
世界新七大奇蹟	世界新七大奇迹
國立政治大學	國立政治大學
宋濂	宋濂
員林鎮	員林鎮
平鎮區	平鎮區
屏東市	屏東市
崔琰	崔琰
陳表	陳表
李通	李通 (三國)
鑒真	鑒真
季羨林	季羡林
清明上河圖	清明上河圖
臺北捷運	臺北捷運
延邊州	延边朝鲜族自治州
寒食	寒食节
袁崇煥	袁崇焕
崔顥	崔颢
林紓	林紓
召西奴	召西奴
李善蘭	李善兰
溪湖鎮	溪湖鎮
桃園區	桃園區
中國朝鮮族	中國朝鮮族
李悝	李悝
日月潭	日月潭
桃花島	桃花島
李太祖	李公蘊
王翰	王翰 (唐朝)
澎湖跨海大橋	澎湖跨海大橋
貢丸	貢丸
龜山島	龜山島
攀牙灣	攀牙灣
裴度	裴度
南漢高祖	劉龑
開城車驛	开城站
太陽餅	太陽餅
張世傑	张世杰
漢戾太子據	刘据
丘逢甲	丘逢甲
色戒	色，戒 (電影)
日本雅樂	日本雅樂
清明	清明
釣魚嶼	釣魚臺
墨家	墨家
拓撲量子場論	拓撲量子場論
帝嚳	嚳
印地文維基大典	印地語維基百科
琴	古琴
範空間	賦範向量空間
有界	有界集合
呂氏春秋	吕氏春秋
乃蠻	乃蛮
秦檜	秦桧
帝乙	帝乙
鎮	行政建制镇
孫河	孫河
丁奉	丁奉
蘇我入鹿	蘇我入鹿
郭淮	郭淮
毌丘儉	毌丘儉
房玄齡	房玄龄
盤庚	盘庚
法正	法正
馬良	馬良
陸抗	陸抗
平知盛	平知盛
士燮	士燮 (三国)
梁武帝	梁武帝
馬謖	马谡
魯	鲁国
蓬金鐵	蓬金鐵
倫敦東隅	倫敦東區
夏侯尚	夏侯尚
程普	程普
申 (地支)	申 (地支)
歐羅巴	欧罗巴 (消歧义)
性	人性
八元數	八元数
廉頗	廉颇
結合代數	結合代數
春秋	春秋 (书)
地級市	地级市
泰北	泰國北部地區
黃巾之亂	黃巾之亂
迴文數	回文数
水墨畫	水墨画
威爾斯親王島	威爾士親王島 (昆士蘭州)
銀魂	银魂
沖繩縣	沖繩縣
餘熵	餘熵
善通寺	善通寺
香港城市大學	香港城市大學
崇明縣	崇明县
三國志人物列表	三国志人物列表
嶺南 (釋義)	嶺南 (消歧義)
楚王負芻	楚王負芻
嚴州府	严州府
百度大典	百度百科
平衡球	平衡球
盤谷銀行	盤谷銀行
基 (拓撲)	基 (拓撲學)
本草綱目	本草纲目
帝堯	尧
二虎歌	雅克弟兄
南越	南越国
赤壁之戰	赤壁之戰
淮揚菜	淮扬菜
庾信	庾信
天元術	天元术
崇禎	崇祯
永樂	永乐 (明朝)
嘉義	嘉義
和製漢語	和製漢語
皇仁書院	皇仁書院
正德	正德 (明朝)
長生殿	长生殿
張籍	张籍
秦郡縣	秦朝行政区划
子路	子路
司徒雷登	司徒雷登
超複數	超复数
奧海鎮	奧海鎮
宰予	宰予
老夫子	老夫子
重文	异体字
反間計	反間計
望夫石	望夫石
建元 (釋義)	建元
天下通言	国际辅助语
京 (釋義)	京
宮刑	宫刑
正月初三	正月初三
博者之謬	賭徒謬誤
七月初七	七月初七
太初	太初
洪熙	洪熙
何承天	何承天 (南朝)
景泰	景泰 (年号)
冉有	冉求
